name,speciality,hospital,city,img,slug,timestamp
"dr. Agussalim Bukhari, Sp.GK., M.Clin.Med., Ph.D",Sp. Gizi Klinik,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/320634_15-6-2022_16-33-26.jpeg,clinical-nutritionist,2025-06-15 10:05:56
"dr. Ali Manfaluthi Ahmad, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Putera Bahagia Cirebon,"Harjamukti, Kota Cirebon",https://d1ojs48v3n42tp.cloudfront.net/personnels/414734_20-9-2022_10-53-23.jpeg,clinical-nutritionist,2025-06-15 10:05:56
"dr. Anna Maurina Singal, M.Gizi, Sp.GK (K)",Sp. Gizi Klinik,Siloam Hospitals Bogor,"Bogor Tengah, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/372358_15-6-2023_17-55-3.png,clinical-nutritionist,2025-06-15 10:05:56
"dr. Anne Rivaida, M.Gizi., Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/181992_22-12-2022_3-17-46.png,clinical-nutritionist,2025-06-15 10:05:56
"dr. Bintari Anindhita , Sp. GK",Sp. Gizi Klinik,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/290780_11-3-2025_13-8-50.png,clinical-nutritionist,2025-06-15 10:05:56
"dr. Carolina Paolin Kanaga, M.Gizi, Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/895069_19-2-2020_16-12-19.jpg,clinical-nutritionist,2025-06-15 10:05:56
"dr. Christin S. S Lumban Tobing, M.Gizi, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",,clinical-nutritionist,2025-06-15 10:05:56
"dr. Christin Santun Sriati Lumban Tobing, M.Gizi, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",https://d1ojs48v3n42tp.cloudfront.net/personnels/657206_22-6-2022_14-41-18.jpeg,clinical-nutritionist,2025-06-15 10:05:56
"dr. Christopher Andrian, M.Gizi, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/285871_24-6-2022_17-52-32.jpeg,clinical-nutritionist,2025-06-15 10:05:56
"dr. Claresta Diella, M.Giz, Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/46987_17-12-2021_14-50-31.jpeg,clinical-nutritionist,2025-06-15 10:05:56
