name,speciality,hospital,city,img,slug,timestamp
dr. A.A. Ayu Ratnawati Sp.M,Sp. Anak,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:04
dr. ACKNI HARTATI MKES SP.A,Sp. Anak,RS Permata Bekasi,"Mustika Jaya, Bekasi",,pediatrician,2025-06-15 02:25:04
dr. ADE AMELIA SP. A M.Ked,Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:04
"dr. ADE AMELIA, M.Ked (Ped) Sp.A",Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:04
"dr. ADE AMELIA, M.Ked (Ped) Sp.A",Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:04
"dr. ADE AMELIA, M.Ked (Ped) Sp.A",Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:04
"AGUNG GAUTAMA TANUHARADJA, Dr. Sp.A",Sp. Anak,RS Medistra,"Setiabudi, Jakarta Selatan",,pediatrician,2025-06-15 02:25:04
"dr. ALVIN HARDI HARDJAWINATA, MARS SpAK",Sp. Anak,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",,pediatrician,2025-06-15 02:25:04
dr. Abdul Mutholib Rambe Sp.A,Sp. Anak,RS Murni Teguh Eria,"Seukajadi, Kota Pekanbaru",,pediatrician,2025-06-15 02:25:04
"dr. Achmad Yudha A. P., M.Kes Sp.A",Sp. Anak,RS JIH Purwokerto,"Kembaran, Kabupaten Banyumas",,pediatrician,2025-06-15 02:25:04
dr. Acil Rukmono Sp.A,Sp. Anak,RS Permata Keluarga Karawang,"Telukjambe Timur, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:07
dr Adam Sultansah Sp. A,Sp. Anak,RSU Fikri Medika,"Klari, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:07
dr. Ade Amalia Sp. A,Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:07
"dr Ade Hafni, Sp.A",Sp. Anak,RSU Fikri Medika,"Klari, Kabupaten Karawang",,pediatrician,2025-06-15 02:25:07
"dr. Adhie Nur Radityo, MSi, Med, SP.A(K)",Sp. Anak,RS Telogorejo,"Semarang Tengah, Kota Semarang",,pediatrician,2025-06-15 02:25:07
"dr. Adi Suryanto Budhipramono, Sp.A",Sp. Anak,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/225106_24-3-2022_15-54-31.png,pediatrician,2025-06-15 02:25:07
"dr. Aedi Budi Dharma, dr, Sp.A(K) M.Kes",Sp. Anak,RSIA Limijati,"Bandung Wetan, Kota Bandung",,pediatrician,2025-06-15 02:25:07
Dr. Agung Danar Restiono Sp. A,Sp. Anak,RSU Islam Harapan Anda Tegal,"Tegal Selatan, Kota Tegal",,pediatrician,2025-06-15 02:25:07
"dr. Agus Darajat, Sp.A M.Kes",Sp. Anak,RS Mulia Pajajaran,"Bogor Utara, Bogor",,pediatrician,2025-06-15 02:25:07
"dr. Agus Priyatno, SpA",Sp. Anak,RS Telogorejo,"Semarang Tengah, Kota Semarang",,pediatrician,2025-06-15 02:25:07
"Dr. Agustina Santi Sp.A, M.Sc, IBCLC",Sp. Anak,Siloam Hospitals Denpasar,"Kuta, Kabupaten Badung",https://d1ojs48v3n42tp.cloudfront.net/personnels/370610_30-6-2021_16-26-17.png,pediatrician,2025-06-15 02:25:10
"dr. Agustinus Patandianan, Sp.A",Sp. Anak,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/739216_6-1-2021_16-40-10.png,pediatrician,2025-06-15 02:25:10
"dr. Ahmad Fauzin, Sp.A",Sp. Anak,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/629209_14-12-2022_14-17-35.png,pediatrician,2025-06-15 02:25:10
Dr. Aji Kristianto Wijaya Sp.A,Sp. Anak,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/505921_29-7-2024_13-52-18.png,pediatrician,2025-06-15 02:25:10
dr. Aldo Yustiantio Muliana Sp.A,Sp. Anak,RS Panti Wilasa Citarum,"Semarang Timur, Kota Semarang",,pediatrician,2025-06-15 02:25:10
dr. Aleander Leonard Caesar J Sp.A.,Sp. Anak,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",,pediatrician,2025-06-15 02:25:10
"dr. Alexander Leonard C.J, Sp.A",Sp. Anak,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/793103_19-6-2024_11-23-44.jpeg,pediatrician,2025-06-15 02:25:10
