name,speciality,hospital,city,img,slug,timestamp
"dr. Abdul Halim Raynaldo, Sp.JP",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",https://d1ojs48v3n42tp.cloudfront.net/personnels/121045_23-5-2022_11-43-56.jpeg,cardiologist,2025-06-15 02:14:48
"dr. Achmad Ismail Sampurna Putra , BMedSci, Sp.JP",Sp. Jantung & Pembuluh Darah,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/464483_8-5-2025_13-39-17.png,cardiologist,2025-06-15 02:14:48
"dr. Ade Imasanti, Sp.JP, FIHA",Sp. Jantung & Pembuluh Darah,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/249072_21-6-2022_13-44-40.png,cardiologist,2025-06-15 02:14:48
"dr. Adhantoro Rahadyan Sp.JP, FIHA",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",https://d1ojs48v3n42tp.cloudfront.net/personnels/855814_22-6-2022_14-29-49.jpeg,cardiologist,2025-06-15 02:14:48
"dr. Adrian Masno, Sp.JP (K), FIHA",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/217537_14-12-2022_13-7-29.png,cardiologist,2025-06-15 02:14:48
"dr. Agnes Lucia Panda, Sp.PD, Sp.JP (K), FIHA",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Manado,"Wenang, Kota Manado",https://d1ojs48v3n42tp.cloudfront.net/personnels/814181_13-12-2022_15-15-6.png,cardiologist,2025-06-15 02:14:48
"dr. Albertus Sewianto, Sp.JP",Sp. Jantung & Pembuluh Darah,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/49452_19-12-2022_16-37-8.jpeg,cardiologist,2025-06-15 02:14:48
"dr. Aldhi Pradana Hernugrahanto, Sp.JP",Sp. Jantung & Pembuluh Darah,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/39157_14-12-2022_12-38-42.png,cardiologist,2025-06-15 02:14:48
"dr. Andrea Kartika Suryadharma, Sp.JP",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",https://d1ojs48v3n42tp.cloudfront.net/personnels/306399_22-6-2022_14-35-54.jpeg,cardiologist,2025-06-15 02:14:48
"dr. Anggia Endah Satuti, Sp.JP",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Yogyakarta,"Gondokusuman, Kota Yogyakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/787512_14-12-2022_13-0-39.png,cardiologist,2025-06-15 02:14:48
