name,speciality,hospital,city,img,slug,timestamp
"dr. Agnes Martaulina Haloho, Sp.KJ",Sp. Jiwa,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/744088_14-12-2022_16-9-21.png,psychiatrist,2025-06-15 09:25:57
"dr. Albert A. Maramis, Sp.KJ (K)",Sp. Jiwa,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/325295_14-12-2022_14-22-2.jpeg,psychiatrist,2025-06-15 09:25:57
"dr. Alvinia Hayulani, Sp.KJ",Sp. Jiwa,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/570504_22-11-2022_17-12-54.png,psychiatrist,2025-06-15 09:25:57
dr. Anastasia Ratnawati Biromo Sp.KJ,Sp. Jiwa,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",,psychiatrist,2025-06-15 09:25:57
dr. Anastasia Ratnawati Biromo Sp KJ,Sp. Jiwa,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",,psychiatrist,2025-06-15 09:25:57
"dr. Anastasia Ratnawati Biromo, Sp.KJ",Sp. Jiwa,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/358352_1-10-2022_15-13-55.png,psychiatrist,2025-06-15 09:25:57
"dr. Cherry Chaterina Silitonga, Sp.KJ",Sp. Jiwa,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/401231_23-6-2022_15-31-16.jpeg,psychiatrist,2025-06-15 09:25:57
"dr. Danardi Sosrosumihardjo, Sp.KJ (K)",Sp. Jiwa,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",https://d1ojs48v3n42tp.cloudfront.net/personnels/91675_21-2-2020_13-55-29.jpg,psychiatrist,2025-06-15 09:25:57
"Dr. Darien Alfa Cipta, Sp.KJ",Sp. Jiwa,Siloam Hospitals Kelapa Dua,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/36176_15-11-2022_16-41-44.jpeg,psychiatrist,2025-06-15 09:25:57
"dr. Dwijo Saputro, Sp. KJ",Sp. Jiwa,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/471196_2-7-2021_9-58-52.png,psychiatrist,2025-06-15 09:25:57
"dr. Elli Misnawati, Sp.KJ",Sp. Jiwa,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/97041_27-6-2022_11-13-35.png,psychiatrist,2025-06-15 09:26:01
"dr. Enjeline Hanafi, Sp.KJ",Sp. Jiwa,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/647350_30-6-2023_11-41-5.png,psychiatrist,2025-06-15 09:26:01
Dr. Eric Handawang Subrata Sp.KJ,Sp. Jiwa,RS dr. Oen Solo Baru,"Grogol, Kab Sukoharjo",,psychiatrist,2025-06-15 09:26:01
"dr. Erwin Josh Tindo, Sp.KJ",Sp. Jiwa,RS Mitra Keluarga Pratama Jatiasih,"Jatiasih, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/182520_14-12-2022_13-57-54.png,psychiatrist,2025-06-15 09:26:01
"dr. Etty Christina Baboe, Sp.KJ",Sp. Jiwa,Siloam Hospitals Palangka Raya,"Pahandut, Kota Palangka Raya",https://d1ojs48v3n42tp.cloudfront.net/personnels/498083_30-6-2022_18-13-5.jpeg,psychiatrist,2025-06-15 09:26:01
"dr. GABRIELLA TANTULAR, M. Biomed. Sp.KJ",Sp. Jiwa,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,psychiatrist,2025-06-15 09:26:01
dr. Hendrik SP Sirait Sp.KJ,Sp. Jiwa,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",,psychiatrist,2025-06-15 09:26:01
