name,speciality,hospital,city,img,slug,timestamp
dr. Adrian W. Tarigan Sp.OT,Sp. Orthopaedi & Traumatologi,RS Jakarta,"Setiabudi, Jakarta Selatan",,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"dr. Adrianto Prasetya Perbowo, Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/372014_14-12-2022_14-34-23.png,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"dr. Albertus Djarot Noersasongko, Sp.OT",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Manado,"Wenang, Kota Manado",https://d1ojs48v3n42tp.cloudfront.net/personnels/349832_14-12-2022_15-27-7.png,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"dr. Alvin Danio Harta Da Costa, Sp.OT (K) Sport",Sp. Orthopaedi & Traumatologi,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/142231_8-12-2022_16-28-41.jpeg,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"dr. Andi Bahauddin Fahmi, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/659037_14-12-2022_16-0-52.jpeg,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"Dr. dr. Andjar Bhawono , Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/232156_25-4-2025_14-38-55.png,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"dr. Andre Chandra Parluhutan Sihombing, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/174406_11-4-2022_11-42-24.png,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"dr. Andre Triadi Desnantyo, Sp.OT (K)",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/309452_14-12-2022_13-50-32.png,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"dr. Andre Triadi Desnantyo, Sp.OT(K)",Sp. Orthopaedi & Traumatologi,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",,orthopedic-trauma-surgeon,2025-06-15 10:09:13
"dr. Andriandi, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",https://d1ojs48v3n42tp.cloudfront.net/personnels/82192_23-5-2022_11-50-46.jpeg,orthopedic-trauma-surgeon,2025-06-15 10:09:13
dr. Anita Kurnianti Sp.OT,Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",,orthopedic-trauma-surgeon,2025-06-15 10:09:16
"dr. Anita Kurniawan , Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/149493_13-10-2021_17-20-19.png,orthopedic-trauma-surgeon,2025-06-15 10:09:16
"dr. Ardi Setiawan, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/783076_28-12-2022_13-40-38.png,orthopedic-trauma-surgeon,2025-06-15 10:09:16
"dr. Arnold Darmawan Thioritz, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/43766_11-4-2022_10-55-38.jpeg,orthopedic-trauma-surgeon,2025-06-15 10:09:16
"dr. Aryo Nugroho Triyudanto, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/180056_14-12-2022_14-33-34.png,orthopedic-trauma-surgeon,2025-06-15 10:09:16
dr. Auliya Akbar Sp.OT sub.sp,Sp. Orthopaedi & Traumatologi,RS Ananda Bekasi,"Medan Satria, Bekasi",,orthopedic-trauma-surgeon,2025-06-15 10:09:16
"dr. Bambang Nugroho, Sp.OT (K)","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/347381_23-6-2022_16-6-1.jpeg,orthopedic-trauma-surgeon,2025-06-15 10:09:16
"Dr. Bayu Antara Hadi, M.Ked, Klin SpOT",Sp. Orthopaedi & Traumatologi,Mandaya Hospital Karawang,"Telukjambe Timur, Kabupaten Karawang",,orthopedic-trauma-surgeon,2025-06-15 10:09:16
