name,speciality,hospital,city,img,slug,timestamp
"Prof. dr. Ali Ghanie, Sp.PD-KKV., FINASIM",Sp. PD Kardiovaskular,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/585661_26-7-2021_15-40-7.png,cardiovascular-physician,2025-06-15 10:13:21
"dr. Dewi Masrifah Ayub Sp.KFR,Ped(K)",Sp. PD Kardiovaskular,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/229067_16-4-2025_13-56-38.png,cardiovascular-physician,2025-06-15 10:13:21
"dr. H. Edwin Setiabudi, Sp.PD-KKV, FINASIM",Sp. PD Kardiovaskular,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/471937_24-5-2022_17-0-31.jpeg,cardiovascular-physician,2025-06-15 10:13:21
"dr. H. Edwin Setiabudi, (Khusus Praktek Siang) Sp.PD-KKV, FINASIM",Sp. PD Kardiovaskular,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/623584_2-11-2021_14-12-34.jpeg,cardiovascular-physician,2025-06-15 10:13:21
"dr. Indra Sihar Mangaranap Manullang, Sp.PD-KKV",Sp. PD Kardiovaskular,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/740411_23-6-2022_15-50-40.jpeg,cardiovascular-physician,2025-06-15 10:13:21
"Prof. dr. Lukman Hakim, Sp.PD-KKV, Sp.JP, KGer",Sp. PD Kardiovaskular,MRCCC Siloam Hospitals Semanggi,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/374587_13-12-2022_15-43-37.png,cardiovascular-physician,2025-06-15 10:13:21
"dr. Pudji Rusmono Adi, Sp.PD-KKV",Sp. PD Kardiovaskular,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/435709_19-5-2021_10-32-8.jpeg,cardiovascular-physician,2025-06-15 10:13:21
"dr. Abdillah Lubis, M. Ked(Cardio), Sp. JP, FIHA",Sp. PD Kardiovaskular,RS Mitra Medika Premier,"Medan Petisah, Kota Medan",,cardiovascular-physician,2025-06-15 10:13:21
"dr. Hardjo Prawira, Sp.PD-KKV",Sp. PD Kardiovaskular,RS St. Carolus Salemba,"Senen, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/20202_20-6-2023_14-24-52.png,cardiovascular-physician,2025-06-15 10:13:21
"dr. Rachmat Hamonangan, Sp.PD-KKV., FINASIM, FACP",Sp. PD Kardiovaskular,RS St. Carolus Salemba,"Senen, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/728044_20-6-2023_14-24-37.png,cardiovascular-physician,2025-06-15 10:13:21
