name,speciality,hospital,city,img,slug,timestamp
"Dr. dr. Achmad Mulawarman Jayusman, Sp.P (K)",Sp. Paru,MRCCC Siloam Hospitals Semanggi,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/3261_28-12-2022_13-50-46.jpeg,pulmonologist,2025-06-15 02:09:01
"dr. Adhitri Anggoro , Sp.P",Sp. Paru,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",,pulmonologist,2025-06-15 02:09:01
"dr. Adianto Dwi Prasetio Z, Sp.P",Sp. Paru,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",,pulmonologist,2025-06-15 02:09:01
"dr. Adrianne Marisa Tauran, Sp.P",Sp. Paru,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/6229_15-6-2022_16-51-59.jpeg,pulmonologist,2025-06-15 02:09:01
"dr. Afrita Amalia Laitupa, Sp.P",Sp. Paru,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/333613_4-1-2023_14-35-42.png,pulmonologist,2025-06-15 02:09:01
"dr. Alexander K. Ginting S., Sp.P, MARS",Sp. Paru,RS Mitra Keluarga Depok,"Pancoran Mas, Depok",https://d1ojs48v3n42tp.cloudfront.net/personnels/586102_21-2-2020_11-18-4.jpg,pulmonologist,2025-06-15 02:09:01
Prof. Dr. dr. Allen Widysanto SpP,Sp. Paru,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",,pulmonologist,2025-06-15 02:09:01
"dr. Andi Nurjihad, Sp.P",Sp. Paru,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/318251_14-12-2022_13-37-37.png,pulmonologist,2025-06-15 02:09:01
"dr. Annisa Sutera Insani , Sp.P",Sp. Paru,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/100966_25-4-2025_14-31-25.png,pulmonologist,2025-06-15 02:09:01
"Dr. dr. Arif Riswahyudi Hanafi, Sp.P (K)",Sp. Paru,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/679179_23-6-2022_15-14-30.jpeg,pulmonologist,2025-06-15 02:09:01
"dr. Arini Purwono, Sp.p",Sp. Paru,RS Pusat Pertamina,"Kebayoran Baru, Jakarta Selatan",,pulmonologist,2025-06-15 02:09:04
"dr. Aulia Pranandrari, Sp.P",Sp. Paru,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/396088_16-6-2022_14-14-20.jpeg,pulmonologist,2025-06-15 02:09:04
"dr. Bambang Heru Handojo, Sp. P",Sp. Paru,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/20945_29-3-2021_17-3-2.png,pulmonologist,2025-06-15 02:09:04
"dr. Bambang Susilo Simon, Sp.P.,FCCP, FAPSR, FISR",Sp. Paru,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/23660_23-7-2024_14-6-37.jpeg,pulmonologist,2025-06-15 02:09:04
"dr. Bintang Bestari, Sp.P",Sp. Paru,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/869848_13-12-2022_16-40-8.jpeg,pulmonologist,2025-06-15 02:09:04
"dr. Boedi Swidarmoko, Sp.P (K)",Sp. Paru,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/200390_28-12-2022_14-11-42.png,pulmonologist,2025-06-15 02:09:04
dr. Buti Ariani Ar Nur Sp.P,Sp. Paru,Eka Hospital Bekasi,"Tarumajaya, Kabupaten Bekasi",,pulmonologist,2025-06-15 02:09:04
"dr. Caecilia Arimah, Sp.P",Sp. Paru,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/40091_13-12-2022_13-57-57.png,pulmonologist,2025-06-15 02:09:04
"dr. Chairil Aibar Siregar, Sp.P, FCCP",Sp. Paru,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/489972_19-5-2021_13-33-51.jpeg,pulmonologist,2025-06-15 02:09:04
"dr. Christofan Lantu, Sp.P",Sp. Paru,Siloam Hospitals Manado,"Wenang, Kota Manado",https://d1ojs48v3n42tp.cloudfront.net/personnels/612176_14-12-2022_15-29-57.png,pulmonologist,2025-06-15 02:09:04
"dr. Danche Theno, Sp. P",Sp. Paru,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/367103_2-4-2020_15-16-2.jpeg,pulmonologist,2025-06-15 02:09:07
dr. Daniel Maranatha Sp.P (K),Sp. Paru,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",,pulmonologist,2025-06-15 02:09:07
"dr. Daniel Maranatha, Sp.P",Sp. Paru,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/70376_18-7-2024_14-51-38.png,pulmonologist,2025-06-15 02:09:07
"dr. David Ridarwan Liunanda, Sp.P",Sp. Paru,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/781237_13-12-2022_13-9-25.jpeg,pulmonologist,2025-06-15 02:09:07
"dr. Deisy Christine Ticoalu, Sp.P",Sp. Paru,RS Mitra Keluarga Pratama Jatiasih,"Jatiasih, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/255910_14-12-2022_15-38-55.png,pulmonologist,2025-06-15 02:09:07
"Desilia Atikawati, dr.Sp.P.K.R.,FAPSR",Sp. Paru,RS Pondok Indah - Puri Indah,"Kembangan, Jakarta Barat",,pulmonologist,2025-06-15 02:09:07
"dr. Devi Ambarwati, Sp.P",Sp. Paru,Siloam Hospitals Jember,"Kaliwates, Kabupaten Jember",https://d1ojs48v3n42tp.cloudfront.net/personnels/496155_28-3-2023_20-16-56.jpeg,pulmonologist,2025-06-15 02:09:07
"dr. Dian Yulianti, Sp.P(K)Onk",Sp. Paru,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/269556_11-1-2023_15-26-55.png,pulmonologist,2025-06-15 02:09:07
"dr. Elisabeth Tri Wahyuni Widoretno, Sp.P",Sp. Paru,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/50631_20-7-2022_16-50-35.png,pulmonologist,2025-06-15 02:09:07
"dr. Elsa Purnama Sari, Sp.P",Sp. Paru,RS Krakatau Medika,"Purwakarta, Kota Cilegon",,pulmonologist,2025-06-15 02:09:07
"dr. Erlang Samoedro, Sp. P",Sp. Paru,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/577352_13-8-2020_12-44-46.jpeg,pulmonologist,2025-06-15 02:09:10
"dr. Erwin Winaya, Sp.P",Sp. Paru,Siloam Hospitals Denpasar,"Kuta, Kabupaten Badung",https://d1ojs48v3n42tp.cloudfront.net/personnels/71918_22-12-2022_17-44-18.png,pulmonologist,2025-06-15 02:09:10
