name,speciality,hospital,city,img,slug,timestamp
"dr. Budiono Raharjo, Sp.PK",Sp. Patologi Klinik,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/430385_14-12-2022_16-26-14.png,clinical-pathologist,2025-06-15 10:23:26
"dr. Hantoro Gunawan, Sp.PK",Sp. Patologi Klinik,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/457065_16-12-2021_9-20-24.png,clinical-pathologist,2025-06-15 10:23:26
"dr. Laura Christiani , Sp.PK",Sp. Patologi Klinik,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/440584_11-3-2025_14-53-57.jpeg,clinical-pathologist,2025-06-15 10:23:26
dr. Sondang M. Sitari Sp.PK,Sp. Patologi Klinik,RS Sukmul Sisma Medika,"Koja, Jakarta Utara",,clinical-pathologist,2025-06-15 10:23:26
"dr. Wilya Kuswandi , Sp.PK",Sp. Patologi Klinik,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/725880_7-5-2025_14-51-31.png,clinical-pathologist,2025-06-15 10:23:26
Dr. dr. DEMAK L TOBING Sp.PK (K),Sp. Patologi Klinik,RS Kanker Dharmais,"Palmerah, Jakarta Barat",,clinical-pathologist,2025-06-15 10:23:26
Dr. Aditya Ignasius Sigit Sp.PK,Sp. Patologi Klinik,halodoc,"Setiabudi, Jakarta Selatan",,clinical-pathologist,2025-06-15 10:23:26
dr. Andrew Sp. PK,Sp. Patologi Klinik,RSUD Koja,"Koja, Jakarta Utara",,clinical-pathologist,2025-06-15 10:23:26
dr. Dian Luminto Sp.PK,Sp. Patologi Klinik,halodoc,"Setiabudi, Jakarta Selatan",,clinical-pathologist,2025-06-15 10:23:26
"dr. Peggy Loman, Sp.PK",Sp. Patologi Klinik,Siloam Hospitals Banjarmasin,"Banjarmasin Tengah, Kota Banjarmasin",https://d1ojs48v3n42tp.cloudfront.net/personnels/313440_8-12-2022_16-55-17.png,clinical-pathologist,2025-06-15 10:23:26
Dr. Regina A. Meilinda Sp. PK,Sp. Patologi Klinik,halodoc,"Setiabudi, Jakarta Selatan",,clinical-pathologist,2025-06-15 10:23:30
"Dr. Veronica Prawira, SPPK",Sp. Patologi Klinik,halodoc,"Setiabudi, Jakarta Selatan",,clinical-pathologist,2025-06-15 10:23:30
