name,speciality,hospital,city,img,slug,timestamp
dr. Abdul Gaffar Hamzah Sp.PD,Sp. Penyakit Dalam,RS Citama,"Bojonggede, Kabupaten Bogor",,internist,2025-06-15 09:29:24
"Prof. dr. Abdul Majid, Sp.PD-KKV",Sp. Penyakit Dalam,Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",https://d1ojs48v3n42tp.cloudfront.net/personnels/54869_23-5-2022_11-53-37.jpeg,internist,2025-06-15 09:29:24
dr. Abiran Nababan Sp.PD - KGEH,Sp. Penyakit Dalam,RSU Santa Elisabeth Medan,"Medan Maimun, Kota Medan",,internist,2025-06-15 09:29:24
"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)",Sp. Penyakit Dalam,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/605261_6-2-2023_12-17-51.png,internist,2025-06-15 09:29:24
"dr. Abram Pratama, Sp.PD",Sp. Penyakit Dalam,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/22941_6-2-2023_12-17-57.png,internist,2025-06-15 09:29:24
"dr. Adang Sabarudin , Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/48974_2-5-2025_13-53-32.png,internist,2025-06-15 09:29:24
"dr. Ade Rahmawati, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Pamulang,"Pamulang, Tangerang Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/815445_6-12-2022_16-21-39.png,internist,2025-06-15 09:29:24
"dr. Adhita Kartyanto, Sp.PD",Sp. Penyakit Dalam,RSU Syubbanul Wathon,"Pakis, Kabupaten Magelang",https://d1ojs48v3n42tp.cloudfront.net/personnels/844645_30-12-2022_17-15-5.png,internist,2025-06-15 09:29:24
"dr. Adi Kurniawan , Sp.PD,K-Al,FINASIM","Sp. Penyakit Dalam, Sp. PD Geriatri",RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/220538_21-4-2025_14-6-31.png,internist,2025-06-15 09:29:24
dr. Aditya Tjandra Sp.PD,Sp. Penyakit Dalam,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/222174_2-5-2025_14-2-11.png,internist,2025-06-15 09:29:24
"dr. Adrian Tri Sutjahjo, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/123779_14-12-2022_15-53-26.jpeg,internist,2025-06-15 09:29:27
"dr. Agung Nugroho, Sp.PD",Sp. Penyakit Dalam,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/475143_19-5-2021_13-48-25.jpeg,internist,2025-06-15 09:29:27
"dr. Agus Prabowo, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/104238_21-12-2022_15-38-16.jpeg,internist,2025-06-15 09:29:27
"dr. Agus Yudho Santosa, Sp.PD., FINASIM",Sp. Penyakit Dalam,Siloam Hospitals Jember,"Kaliwates, Kabupaten Jember",https://d1ojs48v3n42tp.cloudfront.net/personnels/70267_28-3-2023_19-47-17.jpeg,internist,2025-06-15 09:29:27
