name,speciality,hospital,city,img,slug,timestamp
dr ALEXANDER NUR ILHAMI Sp.THT,Sp. THT,RS Bethsaida,"Kelapa Dua, Kabupaten Tangerang",,ear-nose-andthroat,2025-06-15 03:27:50
"Prof. Dr. dr. Achmad Chusnu Romdhoni, Sp.THT-KL (K)",Sp. THT,Siloam Hospitals Surabaya,"Gubeng, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/337605_14-12-2022_14-2-16.jpeg,ear-nose-andthroat,2025-06-15 03:27:50
Dr. Adi Januar Akbar Sp. THT-KL,Sp. THT,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,ear-nose-andthroat,2025-06-15 03:27:50
dr Adi Januar Akbar Sp. THT,Sp. THT,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,ear-nose-andthroat,2025-06-15 03:27:50
"dr. Adisti Mega Rinindra, Sp.THT-KL",Sp. THT,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/63877_4-4-2022_14-29-8.png,ear-nose-andthroat,2025-06-15 03:27:50
dr Aditya Arifianto Sp. THT-KL,Sp. THT,RSU Fikri Medika,"Klari, Kabupaten Karawang",,ear-nose-andthroat,2025-06-15 03:27:50
Dr. Aditya Arifjanto Sp. THT,Sp. THT,RS Permata Keluarga Karawang,"Telukjambe Timur, Kabupaten Karawang",,ear-nose-andthroat,2025-06-15 03:27:50
dr. Afriyanto Ridhwan Sp.THT-KL,Sp. THT,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/547379_14-12-2022_16-7-14.png,ear-nose-andthroat,2025-06-15 03:27:50
"dr. Agus Multazar, M.Ked (ORL-HNS)., Sp.THT",Sp. THT,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",https://d1ojs48v3n42tp.cloudfront.net/personnels/328105_14-6-2022_17-34-57.jpeg,ear-nose-andthroat,2025-06-15 03:27:50
"dr. Agus Santosa, Sp.THT-KL",Sp. THT,Siloam Hospitals Denpasar,"Kuta, Kabupaten Badung",https://d1ojs48v3n42tp.cloudfront.net/personnels/895163_13-12-2022_15-23-11.png,ear-nose-andthroat,2025-06-15 03:27:50
"dr. Ahmad Effendi , Sp.THT-KL",Sp. THT,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/219465_10-3-2025_11-21-39.jpeg,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Aldityas Eko Wibawanto, Sp. THT-KL",Sp. THT,RS Mitra Keluarga Pratama Jatiasih,"Jatiasih, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/468206_11-1-2023_15-22-18.png,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Alexander Nur Ilhami, Sp.THT-KL, M.Kes",Sp. THT,Mayapada Hospital Tangerang,"Tangerang, Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/276335_13-12-2022_10-38-7.png,ear-nose-andthroat,2025-06-15 03:27:53
Dr. Alvin Renaldo Sp. THT-KL,Sp. THT,RSK THT - Bedah Proklamasi,"Menteng, Jakarta Pusat",,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Anantha Sena, Sp.THT-KL",Sp. THT,Mayapada Hospital Bogor,"Bogor Timur, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/113516_13-12-2022_12-56-14.png,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Andi Darwin, Sp.THT-KL",Sp. THT,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/420747_30-12-2022_10-48-41.png,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Anne Indrawati, Sp.THT-KL",Sp. THT,Siloam Hospitals Purwakarta,"Bungursari, Kabupaten Purwakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/623743_4-9-2020_14-49-56.png,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Antonius Harijanto Widjaja, Sp.THT-KL",Sp. THT,Siloam Hospitals Surabaya,"Gubeng, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/794706_2-7-2021_9-11-48.png,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Arfan Noer, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/100692_4-4-2022_13-53-33.jpeg,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Armeilia A. Rachim, Sp.THT",Sp. THT,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/326336_14-12-2022_13-20-21.jpeg,ear-nose-andthroat,2025-06-15 03:27:53
"dr. Asbudi, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/158522_22-6-2022_15-7-22.jpeg,ear-nose-andthroat,2025-06-15 03:27:56
"dr. Asih Yuliati, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/169688_4-4-2022_13-54-3.jpeg,ear-nose-andthroat,2025-06-15 03:27:56
"dr. Asih Yuliati, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",,ear-nose-andthroat,2025-06-15 03:27:56
"dr. Ayu Astria Sriyana, Sp.THT-KL",Sp. THT,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/562147_4-4-2023_23-22-19.jpeg,ear-nose-andthroat,2025-06-15 03:27:56
dr. Bagas Wicaksono Sp.THT-KL,Sp. THT,RSIA Kemang Medical Care,"Pasar Minggu, Jakarta Selatan",,ear-nose-andthroat,2025-06-15 03:27:56
Dr. Bambang Agus Soeseno Sp. THT,Sp. THT,RS Panti Wilasa Dr. Cipto,"Semarang Timur, Kota Semarang",,ear-nose-andthroat,2025-06-15 03:27:56
