name,speciality,hospital,city,img,slug,timestamp
Drg. AJENG PRAMEGFI/REGITA P.,Dokter Gigi,Ocean Dental Tanjung Priuk,"Koja, Jakarta Utara",,dokter-gigi,2025-06-15 02:34:35
drg. ANIZA PRATITA S,Dokter Gigi,Pramita Laboratory Clinic Matraman,"Matraman, Jakarta Timur",,dokter-gigi,2025-06-15 02:34:35
DRG. ANTHONY HARTONO SUTANTO,Dokter Gigi,RSGM Maranatha,"Sukajadi, Kota Bandung",,dokter-gigi,2025-06-15 02:34:35
drg. Abdul Fauzi,Dokter Gigi,Happy Dental Clinic Trans Studio Mall Makassar,"Tamalate, Kota Makassar",,dokter-gigi,2025-06-15 02:34:35
drg Abiyan Athallah,Dokter Gigi,Klinik Utama Medika Antapani,"Kiaracondong, Kota Bandung",,dokter-gigi,2025-06-15 02:34:35
drg Ade Amalia Rizqi,Dokter Gigi,FDC Dental Clinic - Cibubur,"Jatisampurna, Bekasi",,dokter-gigi,2025-06-15 02:34:35
drg Ade Riska Pradina,Dokter Gigi,FDC Dental Clinic - Depok,"Pancoran Mas, Depok",,dokter-gigi,2025-06-15 02:34:35
dr. Ade Ruhani Arland,Dokter Gigi,RS Balikpapan Baru,"Balikpapan Kota, Kota Balikpapan",,dokter-gigi,2025-06-15 02:34:35
dr. Ade Ruhani Arland,Dokter Gigi,RS Balikpapan Baru,"Balikpapan Kota, Kota Balikpapan",,dokter-gigi,2025-06-15 02:34:35
drg. Adela Andartya Sp.KGA,Dokter Gigi,Klinik Pratama Audy Dental Bekasi,"Bekasi Selatan, Bekasi",,dokter-gigi,2025-06-15 02:34:35
drg. Adia Laksita A Rizal,Dokter Gigi,Mayapada Hospital Bogor,"Bogor Timur, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/285333_13-12-2022_15-49-28.png,dokter-gigi,2025-06-15 02:34:38
drg. Aersy Henny Paramitha,Dokter Gigi,Ocean Dental Harapan Indah Bekasi,"Tarumajaya, Kabupaten Bekasi",,dokter-gigi,2025-06-15 02:34:38
drg. Affiah Nurul Hermantiani,Dokter Gigi,RS Mitra Medika Pontianak,"Pontianak Kota, Kota Pontianak",,dokter-gigi,2025-06-15 02:34:38
drg. Afra An Nisa,Dokter Gigi,Klinik Utama Audy Dental Sunter,"Tanjung Priok, Jakarta Utara",,dokter-gigi,2025-06-15 02:34:38
drg. Agatha Descania,Dokter Gigi,Klinik Gigi Dentalosophy BSD,"Pagedangan, Kabupaten Tangerang",,dokter-gigi,2025-06-15 02:34:38
drg. Agnesia Mandayani Tambunan,Dokter Gigi,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",https://d1ojs48v3n42tp.cloudfront.net/personnels/717118_14-6-2022_17-16-54.jpeg,dokter-gigi,2025-06-15 02:34:38
drg. Agus Santana,Dokter Gigi,RS Siaga Al Munawwarah Samarinda,"Samarinda Ulu, Kota Samarinda",,dokter-gigi,2025-06-15 02:34:38
drg. Agustina Wisye R,Dokter Gigi,Happy Dental Clinic Cilandak Town Square,"Cilandak, Jakarta Selatan",,dokter-gigi,2025-06-15 02:34:38
Drg. Ajeng Resti Tregita P.,Dokter Gigi,Ocean Dental Tanjung Priuk,"Koja, Jakarta Utara",,dokter-gigi,2025-06-15 02:34:38
drg Ajudanto Lukas Ginting,Dokter Gigi,RS Permata Keluarga Karawang,"Telukjambe Timur, Kabupaten Karawang",,dokter-gigi,2025-06-15 02:34:38
drg. Akbar Aji Wiguna,Dokter Gigi,Audy Dental Clinic Gading Serpong,"Kelapa Dua, Kabupaten Tangerang",,dokter-gigi,2025-06-15 02:34:41
"dr. Akbar Aji Wiguno, Sp.KGA",Dokter Gigi,RS Melati Tangerang,"Karawaci, Tangerang",,dokter-gigi,2025-06-15 02:34:41
drg. Alaena Medina Handadari,Dokter Gigi,Mayapada Hospital Bogor,"Bogor Timur, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/707967_6-4-2023_16-50-6.jpeg,dokter-gigi,2025-06-15 02:34:41
drg. Albert Januar,Dokter Gigi,Tebet Dental Clinic,"Tebet, Jakarta Selatan",,dokter-gigi,2025-06-15 02:34:41
drg. Albert Sandjaya P,Dokter Gigi,OMDC Dental Clinic Mampang,"Pancoran, Jakarta Selatan",,dokter-gigi,2025-06-15 02:34:41
drg. Albertin Dwiyanti,Dokter Gigi,RS Elim Rantepao,"Rantepao, Kabupaten Toraja Utara",,dokter-gigi,2025-06-15 02:34:41
drg. Albertus David Christian,Dokter Gigi,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/427052_19-6-2024_13-49-58.jpeg,dokter-gigi,2025-06-15 02:34:41
drg. Aldhi Sp.KG,Dokter Gigi,Audy Dental Clinic Gading Serpong,"Kelapa Dua, Kabupaten Tangerang",,dokter-gigi,2025-06-15 02:34:41
