name,speciality,hospital,city,timestamp
"dr. Agussalim Bukhari, Sp.GK., M.Clin.Med., Ph.D",Sp. Gizi Klinik,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",2025-05-23 15:48:01
"dr. Ali Manfaluthi Ahmad, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Putera Bahagia Cirebon,"Harjamukti, Kota Cirebon",2025-05-23 15:48:01
"dr. Anna Maurina Singal, M.Gizi, Sp.GK (K)",Sp. Gizi Klinik,Siloam Hospitals Bogor,"Bogor Tengah, Bogor",2025-05-23 15:48:01
"dr. Anne Rivaida, M.Gizi., Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",2025-05-23 15:48:01
"dr. Bintari Anindhita , Sp. GK",Sp. Gizi Klinik,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",2025-05-23 15:48:01
"dr. Carolina Paolin Kanaga, M.Gizi, Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",2025-05-23 15:48:01
"dr. Christin S. S Lumban Tobing, M.Gizi, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 15:48:01
"dr. Christin Santun Sriati Lumban Tobing, M.Gizi, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 15:48:01
"dr. Christopher Andrian, M.Gizi, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",2025-05-23 15:48:01
"dr. Claresta Diella, M.Giz, Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",2025-05-23 15:48:01
"dr. Dadang Arief Primana, M.Sc, Sp.KO, Sp.GK (K)",Sp. Gizi Klinik,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 15:48:03
"dr. Diane Paparang, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Manado,"Wenang, Kota Manado",2025-05-23 15:48:03
dr. Diani Adrina Sp.GK,Sp. Gizi Klinik,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",2025-05-23 15:48:03
"dr. Ekky M. Rahardja, Sp.GK",Sp. Gizi Klinik,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",2025-05-23 15:48:03
"Dr. Elisa, Sp.Gk",Sp. Gizi Klinik,Bogor Senior Hospital,"Bogor Selatan, Bogor",2025-05-23 15:48:03
"Dr. dr. Inge Permadhi, MS, Sp.GK (K)",Sp. Gizi Klinik,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 15:48:03
"dr. Kurnia Agustina Sitompul, M.Gizi., Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",2025-05-23 15:48:03
"dr. Kwan Francesca Gunawan, M.Gizi, Sp.GK",Sp. Gizi Klinik,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",2025-05-23 15:48:03
"dr. Laila Hayati, Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",2025-05-23 15:48:03
"dr. Lany Dewi , Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",2025-05-23 15:48:03
"dr. Linda Artanti, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",2025-05-23 15:48:05
"Dr. Luciana B Soetanto , Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",2025-05-23 15:48:05
"dr. Marya Warascesaria Haryono, Sp. GK",Sp. Gizi Klinik,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 15:48:05
"dr. Metta Satyani, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",2025-05-23 15:48:05
"dr. Monique Carolina Widjaja, Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",2025-05-23 15:48:05
"dr. Ni Luh Eka Suprapti, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Mataram,"Mataram, Kota Mataram",2025-05-23 15:48:05
"dr. Ni Nyoman Sri Yuliani, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Palangka Raya,"Pahandut, Kota Palangka Raya",2025-05-23 15:48:05
"dr. Noviani, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Yogyakarta,"Gondokusuman, Kota Yogyakarta",2025-05-23 15:48:05
"dr. Nurly Hestika Wardhani, M.Gizi, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Purwakarta,"Bungursari, Kabupaten Purwakarta",2025-05-23 15:48:05
"dr. Pauline Octaviani, Sp.GK","Sp. Gizi Klinik, Sp. Gizi Klink (Konsultan Endokrin Metabolik)",Siloam Hospitals Bekasi Timur,"Bekasi Timur, Bekasi",2025-05-23 15:48:05
"dr. Sri Mulyati, M.Kes., Sp.GK",Sp. Gizi Klinik,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",2025-05-23 15:48:08
"dr. Verawati Sudarma, M.Gizi, Sp.GK",Sp. Gizi Klinik,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",2025-05-23 15:48:08
"dr. Veronica Wijaya, M.Gizi, Sp.GK",Sp. Gizi Klinik,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",2025-05-23 15:48:08
"dr. Yushila Meyrina, M.Si., Sp.GK",Sp. Gizi Klinik,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",2025-05-23 15:48:08
"dr. Liliana, Sp.GK",Sp. Gizi Klinik,RS Pondok Indah - Pondok Indah,"Kebayoran Lama, Jakarta Selatan",2025-05-23 15:48:08
