name,speciality,hospital,city,timestamp
Dr. ANITA D ANWAR Sp OG,Sp. Kandungan & Kebidanan,RSIA Limijati,"Bandung Wetan, Kota Bandung",2025-05-22 16:39:11
dr. Abdul Samad Sp.OG,Sp. Kandungan & Kebidanan,RSIA Vitalaya,"Pamulang, Tangerang Selatan",2025-05-22 16:39:11
"dr. Adhitya Indrapala, SpOG M.Kes",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",2025-05-22 16:39:11
"dr. Adhitya Indrapraja, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",2025-05-22 16:39:11
dr. Adhitya Indraprja SpOG M.Kes,Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",2025-05-22 16:39:11
"dr. Adnan Abadi, Sp.OG-KFER",Sp. Kandungan & Kebidanan,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",2025-05-22 16:39:11
"dr. Adrian Setiawan, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-22 16:39:11
dr. Agebrina Satolom Sp. OG,Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",2025-05-22 16:39:11
"dr. Agebrina Satolom, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",2025-05-22 16:39:11
Dr. Agnes Imelda,Sp. Kandungan & Kebidanan,RS Restu Ibu Balikpapan,"Balikpapan Tengah, Kota Balikpapan",2025-05-22 16:39:11
"Agriana Puspitasari, dr. Sp.OG",Sp. Kandungan & Kebidanan,RS Pondok Indah - Bintaro Jaya,"Pondok Aren, Tangerang Selatan",2025-05-22 16:39:13
dr Agung Sari Wijayanti Sp. OG,Sp. Kandungan & Kebidanan,RSU Islam Klaten,"Klaten Utara, Kab Klaten",2025-05-22 16:39:13
dr. Agung Witjaksono Sp.OG,Sp. Kandungan & Kebidanan,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",2025-05-22 16:39:13
dr. Agus Heriyanto Sp.OG,Sp. Kandungan & Kebidanan,Promptus Women and Children Clinic,"Serpong, Tangerang Selatan",2025-05-22 16:39:13
"dr. Agustinus Gatot Suwarna Hadiwijana, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",2025-05-22 16:39:13
dr. Agustinus Gusti Sp.OG,Sp. Kandungan & Kebidanan,Siloam Hospitals Labuan Bajo,"Komodo, Kabupaten Manggarai Barat",2025-05-22 16:39:13
"dr. Aida Riyanti, Sp.OG, M.RepSc",Sp. Kandungan & Kebidanan,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",2025-05-22 16:39:13
"dr. Albert Doloksaribu, Sp.OG",Sp. Kandungan & Kebidanan,RS Bina Husada,"Cibinong, Kabupaten Bogor",2025-05-22 16:39:13
"dr. Alexandra Maria Darmaseputra Ridjab, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-22 16:39:13
