name,speciality,hospital,city,img,slug,timestamp
Dr. AIDA SOFIATI DAHLAN SURIADIREJA Sp. DV,Sp. Kulit & Kelamin,RS Kanker Dharmais,"Palmerah, Jakarta Barat",,dermato-venereologist,2025-06-15 02:03:18
dr. Achmad Satya Negara Sp.DV,Sp. Kulit & Kelamin,RS Permata Medika,"Ngaliyan, Kota Semarang",,dermato-venereologist,2025-06-15 02:03:18
"dr. Adi Agung Anantawijaya Daryago, Sp.DV",Sp. Kulit & Kelamin,Siloam Hospitals Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/310004_17-7-2023_11-6-43.jpeg,dermato-venereologist,2025-06-15 02:03:18
"dr. Adi Gunadi, Sp.KK, FINSDV, FAADV",Sp. Kulit & Kelamin,RS Mitra Keluarga Depok,"Pancoran Mas, Depok",https://d1ojs48v3n42tp.cloudfront.net/personnels/162872_14-12-2022_16-41-51.png,dermato-venereologist,2025-06-15 02:03:18
"dr. Agni Anastasia Sahulata, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/51653_8-12-2022_11-23-35.jpeg,dermato-venereologist,2025-06-15 02:03:18
"dr. Alfonsus Rendy Laksditalia Nugroho, Sp.DV",Sp. Kulit & Kelamin,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/206385_24-6-2022_17-47-23.jpeg,dermato-venereologist,2025-06-15 02:03:18
"dr. Andy Manggabarani, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/303538_2-11-2022_17-45-53.png,dermato-venereologist,2025-06-15 02:03:18
dr. Anita Indah Sari Sp.DVE,Sp. Kulit & Kelamin,Ciputra Hospital Citra Raya Tangerang,"Panongan, Kabupaten Tangerang",,dermato-venereologist,2025-06-15 02:03:18
"dr. Armansjah Dara Sjahruddin, Sp.KK, M.Kes",Sp. Kulit & Kelamin,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/848295_22-6-2022_10-40-46.png,dermato-venereologist,2025-06-15 02:03:18
"dr. Armina Haramaini, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Purwakarta,"Bungursari, Kabupaten Purwakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/228429_8-12-2022_15-42-13.png,dermato-venereologist,2025-06-15 02:03:18
Dr. Armita Asri Apsari Sp.D.V.E,Sp. Kulit & Kelamin,Siloam Hospitals Semarang,"Semarang Selatan, Kota Semarang",https://d1ojs48v3n42tp.cloudfront.net/personnels/363433_29-11-2022_16-14-27.png,dermato-venereologist,2025-06-15 02:03:20
"Dr. Ayu Nur Ain H. Sp.D.V.E, FINSDV",Sp. Kulit & Kelamin,RS Mitra Keluarga Slawi,"Slawi, Tegal",https://d1ojs48v3n42tp.cloudfront.net/personnels/323879_24-5-2023_10-11-13.png,dermato-venereologist,2025-06-15 02:03:20
dr. Bambang Ratio SpM.KK,Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:20
"dr. Benjamin Ricardo Rubirosa Lumban T, M.Ked(DV), Sp.DV",Sp. Kulit & Kelamin,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",,dermato-venereologist,2025-06-15 02:03:20
"Dr. Brahm Udumbara Pendit Sp.D.V.E, FINSDV",Sp. Kulit & Kelamin,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/109742_13-12-2022_16-57-5.png,dermato-venereologist,2025-06-15 02:03:20
Dr. Budi Eko Prasetyo Sp. DV,Sp. Kulit & Kelamin,RSU Islam Harapan Anda Tegal,"Tegal Selatan, Kota Tegal",,dermato-venereologist,2025-06-15 02:03:20
"dr. Budi Satria, Sp.DV",Sp. Kulit & Kelamin,Siloam Hospitals Palangka Raya,"Pahandut, Kota Palangka Raya",https://d1ojs48v3n42tp.cloudfront.net/personnels/610102_30-6-2022_18-7-57.jpeg,dermato-venereologist,2025-06-15 02:03:20
"dr. Bunga Sejuk Segar, Sp.KK., M.Sc",Sp. Kulit & Kelamin,RS Mitra Keluarga Bintaro,"Pondok Aren, Tangerang Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/101937_4-4-2022_14-35-25.png,dermato-venereologist,2025-06-15 02:03:20
"dr. Bunga Sejuk Segar, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Bintaro,"Pondok Aren, Tangerang Selatan",,dermato-venereologist,2025-06-15 02:03:20
"dr. Caroline Budiman, Sp.KK",Sp. Kulit & Kelamin,Mayapada Hospital Tangerang,"Tangerang, Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/356695_13-12-2022_14-32-58.jpeg,dermato-venereologist,2025-06-15 02:03:20
dr. Ching Chin Chwen,Sp. Kulit & Kelamin,Subang Jaya Medical Centre,"Mampang Prapatan, Jakarta Selatan",,dermato-venereologist,2025-06-15 02:03:23
Dr. Ching Chin Chwen,Sp. Kulit & Kelamin,Subang Jaya Medical Centre,"Mampang Prapatan, Jakarta Selatan",,dermato-venereologist,2025-06-15 02:03:23
"dr. Christine Andriyani, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/697621_4-8-2020_16-28-26.jpeg,dermato-venereologist,2025-06-15 02:03:23
"dr. Cindy Ariani, M.Biomed, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/376177_14-12-2022_14-3-13.png,dermato-venereologist,2025-06-15 02:03:23
Dr. Cindy Cekti Sp. KK,Sp. Kulit & Kelamin,JIH Jogja,"Kecamatan Depok, Kabupaten Sleman",,dermato-venereologist,2025-06-15 02:03:23
dr. Dani Djunda Sp.KK,Sp. Kulit & Kelamin,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",,dermato-venereologist,2025-06-15 02:03:23
"dr. Danny Gunawan, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/310410_14-12-2022_14-37-50.png,dermato-venereologist,2025-06-15 02:03:23
"dr. Dewi Kusumawati, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/807531_11-1-2023_15-21-0.png,dermato-venereologist,2025-06-15 02:03:23
"dr. Dewi Lastya Sari, Sp.DV., M.Med",Sp. Kulit & Kelamin,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",https://d1ojs48v3n42tp.cloudfront.net/personnels/668499_14-6-2022_17-24-27.jpeg,dermato-venereologist,2025-06-15 02:03:23
"dr. Dian Anggraeni, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/446619_15-6-2022_16-41-48.jpeg,dermato-venereologist,2025-06-15 02:03:23
