name,speciality,hospital,city,timestamp
dr. A.A. Ayu Ratnawati Sp.M,Sp. Anak,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",2025-05-22 16:48:58
dr. ACKNI HARTATI MKES SP.A,Sp. Anak,RS Permata Bekasi,"Mustika Jaya, Bekasi",2025-05-22 16:48:58
dr. ADE AMELIA SP. A M.Ked,Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",2025-05-22 16:48:58
"dr. ADE AMELIA, M.Ked (Ped) Sp.A",Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",2025-05-22 16:48:58
"dr. ADE AMELIA, M.Ked (Ped) Sp.A",Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",2025-05-22 16:48:58
"dr. ADE AMELIA, M.Ked (Ped) Sp.A",Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",2025-05-22 16:48:58
"AGUNG GAUTAMA TANUHARADJA, Dr. Sp.A",Sp. Anak,RS Medistra,"Setiabudi, Jakarta Selatan",2025-05-22 16:48:58
"dr. ALVIN HARDI HARDJAWINATA, MARS SpAK",Sp. Anak,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",2025-05-22 16:48:58
dr. Abdul Mutholib Rambe Sp.A,Sp. Anak,RS Murni Teguh Eria,"Seukajadi, Kota Pekanbaru",2025-05-22 16:48:58
"dr. Achmad Yudha A. P., M.Kes Sp.A",Sp. Anak,RS JIH Purwokerto,"Kembaran, Kabupaten Banyumas",2025-05-22 16:48:58
dr. Acil Rukmono Sp.A,Sp. Anak,RS Permata Keluarga Karawang,"Telukjambe Timur, Kabupaten Karawang",2025-05-22 16:49:00
dr Adam Sultansah Sp. A,Sp. Anak,RSU Fikri Medika,"Klari, Kabupaten Karawang",2025-05-22 16:49:00
dr. Ade Amalia Sp. A,Sp. Anak,RS Citra Sari Husada,"Klari, Kabupaten Karawang",2025-05-22 16:49:00
"dr Ade Hafni, Sp.A",Sp. Anak,RSU Fikri Medika,"Klari, Kabupaten Karawang",2025-05-22 16:49:00
"dr. Adhie Nur Radityo, MSi, Med, SP.A(K)",Sp. Anak,RS Telogorejo,"Semarang Tengah, Kota Semarang",2025-05-22 16:49:00
"dr. Adi Suryanto Budhipramono, Sp.A",Sp. Anak,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-22 16:49:00
"dr. Aedi Budi Dharma, dr, Sp.A(K) M.Kes",Sp. Anak,RSIA Limijati,"Bandung Wetan, Kota Bandung",2025-05-22 16:49:00
Dr. Agung Danar Restiono Sp. A,Sp. Anak,RSU Islam Harapan Anda Tegal,"Tegal Selatan, Kota Tegal",2025-05-22 16:49:00
"dr. Agus Darajat, Sp.A M.Kes",Sp. Anak,RS Mulia Pajajaran,"Bogor Utara, Bogor",2025-05-22 16:49:00
"dr. Agus Priyatno, SpA",Sp. Anak,RS Telogorejo,"Semarang Tengah, Kota Semarang",2025-05-22 16:49:00
"Dr. Agustina Santi Sp.A, M.Sc, IBCLC",Sp. Anak,Siloam Hospitals Denpasar,"Kuta, Kabupaten Badung",2025-05-22 16:49:03
"dr. Agustinus Patandianan, Sp.A",Sp. Anak,RS Bina Husada,"Cibinong, Kabupaten Bogor",2025-05-22 16:49:03
"dr. Ahmad Fauzin, Sp.A",Sp. Anak,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",2025-05-22 16:49:03
Dr. Aji Kristianto Wijaya Sp.A,Sp. Anak,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-22 16:49:03
dr. Aldo Yustiantio Muliana Sp.A,Sp. Anak,RS Panti Wilasa Citarum,"Semarang Timur, Kota Semarang",2025-05-22 16:49:03
dr. Aleander Leonard Caesar J Sp.A.,Sp. Anak,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-22 16:49:03
"dr. Alexander Leonard C.J, Sp.A",Sp. Anak,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-22 16:49:03
dr. Alexander Leonard Caesar J Sp.A.,Sp. Anak,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-22 16:49:03
dr. Alexander Leonard Caesar J Sp.A.,Sp. Anak,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-22 16:49:03
"dr. Ali Sjahri, Sp.A",Sp. Anak,Mayapada Hospital Bogor,"Bogor Timur, Bogor",2025-05-22 16:49:03
dr. Alok Adipurnama Sp.A,Sp. Anak,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-22 16:49:05
"dr. Analysa Margaretha Bogar, Sp.A",Sp. Anak,Siloam Hospitals Bogor,"Bogor Tengah, Bogor",2025-05-22 16:49:05
"dr. Anastasia Maureen, Sp.A",Sp. Anak,Mayapada Hospital Tangerang,"Tangerang, Tangerang",2025-05-22 16:49:05
dr. Andreas Liando SpA,Sp. Anak,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-22 16:49:05
"dr. Andreas Liando, Sp.A",Sp. Anak,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-22 16:49:05
"dr. Andry Juliansen, Sp.A",Sp. Anak,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-22 16:49:05
"dr. Andry Tangkilisan, Sp.A,",Sp. Anak,RS PIK,"Penjaringan, Jakarta Utara",2025-05-22 16:49:05
"dr. Andy Darma, Sp.A (K)",Sp. Anak,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",2025-05-22 16:49:05
"dr. Andy Japutra, Sp.A",Sp. Anak,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-22 16:49:05
"dr. Angelica, Sp.A CIMI",Sp. Anak,RS Royal Taruma,"Grogol Petamburan, Jakarta Barat",2025-05-22 16:49:05
