name,speciality,hospital,city,img,slug,timestamp
"dr. Agus Setiyana Sp.An, KAKV, FIPM, PIPP",Sp. Anestesiologi,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/472951_13-12-2022_16-31-58.png,anesthesiologist,2025-06-15 10:19:51
dr. Anindita Sp.An.,Sp. Anestesiologi,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/397628_8-7-2024_13-56-28.png,anesthesiologist,2025-06-15 10:19:51
"dr. Daniel Mandatari , Sp.An",Sp. Anestesiologi,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/404614_11-3-2025_14-59-15.png,anesthesiologist,2025-06-15 10:19:51
"dr. Habibi, Sp.An-TI, Subsp. T.I. (K). FIP",Sp. Anestesiologi,RS Pondok Indah - Bintaro Jaya,"Pondok Aren, Tangerang Selatan",,anesthesiologist,2025-06-15 10:19:51
"dr. I Made Susuasta, Sp.An",Sp. Anestesiologi,RSUP Dr. Sitanala Tangerang,"Neglasari, Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/744858_7-1-2021_14-39-51.png,anesthesiologist,2025-06-15 10:19:51
"dr. Isrun Masari, Sp.An",Sp. Anestesiologi,Mayapada Hospital Bandung,"Bandung Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/546071_28-6-2021_9-9-30.png,anesthesiologist,2025-06-15 10:19:51
"dr. Kris Prasetya Surjadi , SpAn",Sp. Anestesiologi,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/608707_14-2-2025_14-46-50.png,anesthesiologist,2025-06-15 10:19:51
"dr. Rifki Sulaiman, Sp.AN",Sp. Anestesiologi,RS Citama,"Bojonggede, Kabupaten Bogor",,anesthesiologist,2025-06-15 10:19:51
dr. Yasmine Kusherdaningtya Kartika Sp.An.,Sp. Anestesiologi,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/147081_8-7-2024_14-12-38.png,anesthesiologist,2025-06-15 10:19:51
"dr. Yohanes Rudijanto, Sp.An-KMN",Sp. Anestesiologi,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/707066_19-5-2021_23-9-51.jpeg,anesthesiologist,2025-06-15 10:19:51
"dr. Yosi Dwi Wardhani, Sp.An",Sp. Anestesiologi,RSUP Dr. Sitanala Tangerang,"Neglasari, Tangerang",,anesthesiologist,2025-06-15 10:19:56
"dr. A. Deni Hamdani, Sp. An. TI, Subsp. MN (K)",Sp. Anestesiologi,RS Pelni Petamburan,"Palmerah, Jakarta Barat",,anesthesiologist,2025-06-15 10:19:56
"dr. Citra, Sp.An",Sp. Anestesiologi,RS Columbia Asia BSD,"Serpong, Tangerang Selatan",,anesthesiologist,2025-06-15 10:19:56
"Dr. Abdul Hakim Ritonga M.Ked(An), Sp.An-TI",Sp. Anestesiologi,halodoc,"Setiabudi, Jakarta Selatan",,anesthesiologist,2025-06-15 10:19:56
"Dr. David Ferdiansyah M.M., Sp.An-TI",Sp. Anestesiologi,halodoc,"Setiabudi, Jakarta Selatan",,anesthesiologist,2025-06-15 10:19:56
"Dr. Novita Sari Sp.An-TI, M.Ked.Klin",Sp. Anestesiologi,halodoc,"Setiabudi, Jakarta Selatan",,anesthesiologist,2025-06-15 10:19:56
Dr. Rizky Rahmad Tri Cahyo Sp.An-TI,Sp. Anestesiologi,halodoc,"Setiabudi, Jakarta Selatan",,anesthesiologist,2025-06-15 10:19:56
Dr. Zsa Zsa Maranani Sp.An-TI,Sp. Anestesiologi,halodoc,"Setiabudi, Jakarta Selatan",,anesthesiologist,2025-06-15 10:19:56
"dr. Richo Rudiyanto, SP.AN-TI",Sp. Anestesiologi,halodoc,"Setiabudi, Jakarta Selatan",,anesthesiologist,2025-06-15 10:19:56
