name,speciality,hospital,city,img,slug,timestamp
"dr. Ade Chandra, Sp.B",Sp. Bedah Umum,Siloam Hospitals Denpasar,"Kuta, Kabupaten Badung",https://d1ojs48v3n42tp.cloudfront.net/personnels/565429_29-11-2022_17-42-45.jpeg,general-surgeon,2025-06-15 09:57:08
"dr. Ade Sigit Mayongkoro, dr., Sp.B Sp.B.J",Sp. Bedah Umum,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,general-surgeon,2025-06-15 09:57:08
"dr. Adhitya Angga Wardhana, Sp.B (K) BD","Sp. Bedah Umum, Sp. Bedah Digestif",RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/1635_14-12-2022_14-22-10.png,general-surgeon,2025-06-15 09:57:08
"dr. Adi Sucipto, Sp.B",Sp. Bedah Umum,Siloam Hospitals Bangka,"Pangkalan Baru,  Kabupaten Bangka Tengah",https://d1ojs48v3n42tp.cloudfront.net/personnels/417322_30-6-2022_14-47-54.jpeg,general-surgeon,2025-06-15 09:57:08
"dr. Adimas Haryanaputra Tjindarbumi, Sp.B","Sp. Bedah Umum, Dokter Bedah",RS Mitra Keluarga Cikarang,"Cikarang Utara, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/759471_31-10-2022_14-22-42.png,general-surgeon,2025-06-15 09:57:08
"dr. Agil Salim, Sp.B (K) Trauma, FINACS, FICS","Sp. Bedah Umum, Dokter Bedah",Mayapada Hospital Bogor,"Bogor Timur, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/638037_13-12-2022_15-55-4.png,general-surgeon,2025-06-15 09:57:08
"dr. Agus Endrawanto, Sp.B, M.Kes",Sp. Bedah Umum,Siloam Hospitals Buton,"Wolio, Kota Bau-Bau",https://d1ojs48v3n42tp.cloudfront.net/personnels/862324_1-11-2022_16-16-20.jpeg,general-surgeon,2025-06-15 09:57:08
"dr. Aladin Sampara Johan, Sp.B","Sp. Bedah Umum, Dokter Bedah",Siloam Hospitals Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/526964_14-12-2022_15-57-46.png,general-surgeon,2025-06-15 09:57:08
"dr. Ali Reza, Sp.B",Sp. Bedah Umum,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/892745_4-4-2023_22-30-28.jpeg,general-surgeon,2025-06-15 09:57:08
"dr. Alicia Agustine, Sp.B","Sp. Bedah Umum, Dokter Bedah",Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/683086_5-7-2021_16-31-28.png,general-surgeon,2025-06-15 09:57:08
Dr. Andi Wiradeni Sp.B,Sp. Bedah Umum,Alia Hospital Jakarta Timur,"Duren Sawit, Jakarta Timur",,general-surgeon,2025-06-15 09:57:11
"dr. Andreas Kurniawan Suwito, Sp. B",Sp. Bedah Umum,RS Mitra Keluarga Tegal,"Tegal Barat, Kota Tegal",https://d1ojs48v3n42tp.cloudfront.net/personnels/274661_24-5-2023_9-23-9.png,general-surgeon,2025-06-15 09:57:11
Dr. Andri Suhandi Sp.B,Sp. Bedah Umum,RS Harum Sisma Medika,"Makasar, Jakarta Timur",,general-surgeon,2025-06-15 09:57:11
"dr. Andry Adysaputra, Sp.B",Sp. Bedah Umum,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/670446_2-11-2022_17-38-7.png,general-surgeon,2025-06-15 09:57:11
"dr. Andy Supandi, M. Biomed, Sp. B",Sp. Bedah Umum,RS Mitra Keluarga Pamulang,"Pamulang, Tangerang Selatan",,general-surgeon,2025-06-15 09:57:11
"dr. Anthony Berlim, Sp.B",Sp. Bedah Umum,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/392248_24-3-2022_15-56-2.png,general-surgeon,2025-06-15 09:57:11
