name,speciality,hospital,city,timestamp
"dr. Eddy Sunaryuniarto Sp.JP(K), FIHA",Sp. Jantung (Kardiologi Intervensi),Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 14:54:27
"dr. Fauzi Akira Nugraha , Sp.JP(K), FIHA","Sp. Jantung & Pembuluh Darah, Sp. Jantung (Kardiologi Intervensi)",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 14:54:27
"Prof. Dr. dr. Harry Suryapranata M.D ,Sp.JP, Ph.D,FESC,FACC,FIHA",Sp. Jantung (Kardiologi Intervensi),Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 14:54:27
"dr. Jeffrey Wirianta , Sp.JP(K)",Sp. Jantung (Kardiologi Intervensi),Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 14:54:27
"dr. Mei Lestari Harahap , Sp.JP(K), FIHA, FICA","Sp. Jantung & Pembuluh Darah, Sp. Jantung (Kardiologi Intervensi)",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 14:54:27
"Dr. dr. Sidhi Laksono Sp. JP (K), MARS, M.H",Sp. Jantung (Kardiologi Intervensi),Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 14:54:27
Dr. Badai Bhatara Tiksnadi Sp. JP,Sp. Jantung (Kardiologi Intervensi),halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 14:54:27
Dr. Isnaini Sp.JP(K),Sp. Jantung (Kardiologi Intervensi),halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 14:54:27
"dr. Lidwina Tarigan Sp.JP(K), FIHA",Sp. Jantung (Kardiologi Intervensi),halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 14:54:27
dr. Margono Gatot Suwandi Sp.JP(K),Sp. Jantung (Kardiologi Intervensi),halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 14:54:27
dr. Novita Sitorus Sp.JP(K),Sp. Jantung (Kardiologi Intervensi),halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 14:54:41
