name,speciality,hospital,city,timestamp
"dr. Abdul Halim Raynaldo, Sp.JP",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",2025-05-23 15:08:35
"dr. Achmad Ismail Sampurna Putra , BMedSci, Sp.JP",Sp. Jantung & Pembuluh Darah,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",2025-05-23 15:08:35
"dr. Ade Imasanti, Sp.JP, FIHA",Sp. Jantung & Pembuluh Darah,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",2025-05-23 15:08:35
"dr. Adhantoro Rahadyan Sp.JP, FIHA",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 15:08:35
"dr. Adrian Masno, Sp.JP (K), FIHA",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",2025-05-23 15:08:35
"dr. Agnes Lucia Panda, Sp.PD, Sp.JP (K), FIHA",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Manado,"Wenang, Kota Manado",2025-05-23 15:08:35
"dr. Albertus Sewianto, Sp.JP",Sp. Jantung & Pembuluh Darah,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",2025-05-23 15:08:35
"dr. Aldhi Pradana Hernugrahanto, Sp.JP",Sp. Jantung & Pembuluh Darah,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",2025-05-23 15:08:35
"dr. Andrea Kartika Suryadharma, Sp.JP",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 15:08:35
"dr. Anggia Endah Satuti, Sp.JP",Sp. Jantung & Pembuluh Darah,Siloam Hospitals Yogyakarta,"Gondokusuman, Kota Yogyakarta",2025-05-23 15:08:35
"dr. Anindita Primiari Qodrina, Sp.JP",Sp. Jantung & Pembuluh Darah,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",2025-05-23 15:08:37
