name,speciality,hospital,city,timestamp
"dr. Agnes Martaulina Haloho, Sp.KJ",Sp. Jiwa,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",2025-05-23 12:56:40
"dr. Albert A. Maramis, Sp.KJ (K)",Sp. Jiwa,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",2025-05-23 12:56:40
"dr. Alvinia Hayulani, Sp.KJ",Sp. Jiwa,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",2025-05-23 12:56:40
dr. Anastasia Ratnawati Biromo Sp KJ,Sp. Jiwa,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",2025-05-23 12:56:40
dr. Anastasia Ratnawati Biromo Sp.KJ,Sp. Jiwa,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",2025-05-23 12:56:40
"dr. Anastasia Ratnawati Biromo, Sp.KJ",Sp. Jiwa,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",2025-05-23 12:56:40
"dr. Cherry Chaterina Silitonga, Sp.KJ",Sp. Jiwa,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",2025-05-23 12:56:40
"dr. Danardi Sosrosumihardjo, Sp.KJ (K)",Sp. Jiwa,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",2025-05-23 12:56:40
"Dr. Darien Alfa Cipta, Sp.KJ",Sp. Jiwa,Siloam Hospitals Kelapa Dua,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 12:56:40
"dr. Dwijo Saputro, Sp. KJ",Sp. Jiwa,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 12:56:40
"dr. Elli Misnawati, Sp.KJ",Sp. Jiwa,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",2025-05-23 12:56:43
"dr. Enjeline Hanafi, Sp.KJ",Sp. Jiwa,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 12:56:43
Dr. Eric Handawang Subrata Sp.KJ,Sp. Jiwa,RS dr. Oen Solo Baru,"Grogol, Kab Sukoharjo",2025-05-23 12:56:43
"dr. Erwin Josh Tindo, Sp.KJ",Sp. Jiwa,RS Mitra Keluarga Pratama Jatiasih,"Jatiasih, Bekasi",2025-05-23 12:56:43
"dr. Etty Christina Baboe, Sp.KJ",Sp. Jiwa,Siloam Hospitals Palangka Raya,"Pahandut, Kota Palangka Raya",2025-05-23 12:56:43
dr. Hendrik SP Sirait Sp.KJ,Sp. Jiwa,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",2025-05-23 12:56:43
"dr. Hendro Riyanto, Sp.KJ",Sp. Jiwa,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",2025-05-23 12:56:43
"dr. Heru Effendi, Sp.KJ",Sp. Jiwa,Siloam Hospitals Bangka,"Pangkalan Baru,  Kabupaten Bangka Tengah",2025-05-23 12:56:43
