name,speciality,hospital,city,img,slug,timestamp
dr. A.A. Ayu Ratnawati Sp.M,Sp. Mata,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",,ophthalmologist,2025-06-15 09:10:07
dr AA Ayu Ratnawati Sp.M,Sp. Mata,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,ophthalmologist,2025-06-15 09:10:07
Dr. AA. AYU RATNAWATI Sp.M,Sp. Mata,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,ophthalmologist,2025-06-15 09:10:07
"dr. AA. AYU RATNAWATI, dr. Sp.M",Sp. Mata,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,ophthalmologist,2025-06-15 09:10:07
"dr. Adhi Wicaksono, Sp.M",Sp. Mata,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/757647_18-10-2022_16-57-4.png,ophthalmologist,2025-06-15 09:10:07
"dr Adhi Wicaksono, SpM",Sp. Mata,RS Jakarta,"Setiabudi, Jakarta Selatan",,ophthalmologist,2025-06-15 09:10:07
"dr. Ahriani Achmad, Sp.M",Sp. Mata,RS Azra,"Bogor Utara, Bogor",,ophthalmologist,2025-06-15 09:10:07
"dr. Aldrin Edwin Raymond Yuddy Oroh, Sp.M",Sp. Mata,Klinik Mata SMEC Manado,"Malalayang, Kota Manado",,ophthalmologist,2025-06-15 09:10:07
dr. Alif Reza Faizal S. Sp.M,Sp. Mata,Siloam Hospitals Labuan Bajo,"Komodo, Kabupaten Manggarai Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/485122_29-11-2022_17-18-56.jpeg,ophthalmologist,2025-06-15 09:10:07
"dr. Anastasia Vanny Launardo, M.Kes., Sp.M",Sp. Mata,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/664752_15-6-2022_16-46-23.jpeg,ophthalmologist,2025-06-15 09:10:07
"dr. Andi Muhammad Ichsan, Sp.M (K), Ph.D",Sp. Mata,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/308055_2-11-2022_17-28-59.png,ophthalmologist,2025-06-15 09:10:13
dr. Anny Sulistiyowati Sp.M (K),Sp. Mata,Klinik Mata SMEC Malang,"Blimbing, Kota Malang",,ophthalmologist,2025-06-15 09:10:13
"dr. Antonius Dwi Juniarto, Sp.M",Sp. Mata,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/668842_1-10-2022_9-44-7.png,ophthalmologist,2025-06-15 09:10:13
Dr. Aris Kurnia SpM,Sp. Mata,RS Mata JEC Primasana Tj. Priok,"Tanjung Priok, Jakarta Utara",,ophthalmologist,2025-06-15 09:10:13
"dr. Astri Avianty, Sp.M",Sp. Mata,Siloam Hospitals Putera Bahagia Cirebon,"Harjamukti, Kota Cirebon",https://d1ojs48v3n42tp.cloudfront.net/personnels/324875_22-12-2022_17-45-10.png,ophthalmologist,2025-06-15 09:10:13
"dr. Atiek Indriawati, Sp.M",Sp. Mata,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/869650_4-4-2022_13-54-35.jpeg,ophthalmologist,2025-06-15 09:10:13
dr Aurora Sicilia Hutagalung Sp.M,Sp. Mata,Eka Hospital Bekasi,"Tarumajaya, Kabupaten Bekasi",,ophthalmologist,2025-06-15 09:10:13
"dr Azalia Latuasan, SP.M",Sp. Mata,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,ophthalmologist,2025-06-15 09:10:13
Dr. Bambang Herwindu Sp. M,Sp. Mata,RSUD Tarakan Jakarta,"Gambir, Jakarta Pusat",,ophthalmologist,2025-06-15 09:10:13
dr. Bambang Susetio Sp.M(K),Sp. Mata,RS Santo Borromeus,"Coblong, Kota Bandung",,ophthalmologist,2025-06-15 09:10:13
dr. Beby Parwis Sp.M,Sp. Mata,RS Mata SMEC Medan,"Medan Petisah, Kota Medan",,ophthalmologist,2025-06-15 09:10:21
"dr. Britya Intar Luvila, Sp.M",Sp. Mata,RS Mitra Keluarga Bintaro,"Pondok Aren, Tangerang Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/41209_4-4-2022_14-33-18.png,ophthalmologist,2025-06-15 09:10:21
dr. Budi Suryanto Sp M,Sp. Mata,Klinik Mata Serpong,"Kelapa Dua, Kabupaten Tangerang",,ophthalmologist,2025-06-15 09:10:21
"dr. Cahya Dessy Rahmawati, Sp.M",Sp. Mata,Siloam Hospitals Mataram,"Mataram, Kota Mataram",https://d1ojs48v3n42tp.cloudfront.net/personnels/497876_24-3-2023_13-16-0.jpeg,ophthalmologist,2025-06-15 09:10:21
"dr. Catherina Elizabeth Tenden Tiar Tulong, Sp.M",Sp. Mata,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/779455_23-6-2022_15-29-32.jpeg,ophthalmologist,2025-06-15 09:10:21
"dr. Chalid Kurniawan, Sp.M,. MKes",Sp. Mata,Santosa Hospital Bandung Central,"Andir, Kota Bandung",,ophthalmologist,2025-06-15 09:10:21
"dr. Cosmas Hascaryanto, Sp.M",Sp. Mata,Siloam Hospitals Jember,"Kaliwates, Kabupaten Jember",https://d1ojs48v3n42tp.cloudfront.net/personnels/460703_28-3-2023_19-45-58.jpeg,ophthalmologist,2025-06-15 09:10:21
"Dr. Dr. Cosmos O. Mangunsong, Sp. M (K)",Sp. Mata,RS Mata JEC Menteng,"Menteng, Jakarta Pusat",,ophthalmologist,2025-06-15 09:10:21
dr Cut Mytha Fitriana Sp. M,Sp. Mata,RS Mitra Plumbon Cibitung,"Cibitung, Kabupaten Bekasi",,ophthalmologist,2025-06-15 09:10:21
dr. D. A. N. Candra Seni Sp.M,Sp. Mata,Klinik Khusus Mata SMEC Rawamangun,"Pulo Gadung, Jakarta Timur",,ophthalmologist,2025-06-15 09:10:21
DR dr. Gede Pardianto Sp M,Sp. Mata,RS Mata SMEC Medan,"Medan Petisah, Kota Medan",,ophthalmologist,2025-06-15 09:10:26
"DR. Dr. Johan A. Hutauruk, SpM(K)",Sp. Mata,RS Mata JEC Menteng,"Menteng, Jakarta Pusat",,ophthalmologist,2025-06-15 09:10:26
"dr. Daddy Armand Noeryoto, Sp.M",Sp. Mata,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/478775_14-12-2022_16-41-6.png,ophthalmologist,2025-06-15 09:10:26
Dr. Daddy Armand Sp M,Sp. Mata,Klinik Citra Husada,"Buduran, Kabupaten Sidoarjo",,ophthalmologist,2025-06-15 09:10:26
"dr. Danang Dwinarnoyo, Sp.M",Sp. Mata,Mata Nusantara (KMN Eyecare) Semarang,"Semarang Tengah, Kota Semarang",,ophthalmologist,2025-06-15 09:10:26
dr. Danang Dwinaryono SpM,Sp. Mata,Mata Nusantara (KMN Eyecare) Semarang,"Semarang Tengah, Kota Semarang",,ophthalmologist,2025-06-15 09:10:26
