name,speciality,hospital,city,timestamp
dr. Adrian W. Tarigan Sp.OT,Sp. Orthopaedi & Traumatologi,RS Jakarta,"Setiabudi, Jakarta Selatan",2025-05-23 15:58:36
"dr. Adrianto Prasetya Perbowo, Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-23 15:58:36
"dr. Albertus Djarot Noersasongko, Sp.OT",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Manado,"Wenang, Kota Manado",2025-05-23 15:58:36
"dr. Alvin Danio Harta Da Costa, Sp.OT (K) Sport",Sp. Orthopaedi & Traumatologi,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 15:58:36
"dr. Andi Bahauddin Fahmi, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",2025-05-23 15:58:36
"Dr. dr. Andjar Bhawono , Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",2025-05-23 15:58:36
"dr. Andre Chandra Parluhutan Sihombing, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",2025-05-23 15:58:36
"dr. Andre Triadi Desnantyo, Sp.OT (K)",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",2025-05-23 15:58:36
"dr. Andre Triadi Desnantyo, Sp.OT(K)",Sp. Orthopaedi & Traumatologi,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",2025-05-23 15:58:36
"dr. Andriandi, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",2025-05-23 15:58:36
dr. Anita Kurnianti Sp.OT,Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",2025-05-23 15:58:43
"dr. Anita Kurniawan , Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",2025-05-23 15:58:43
"dr. Ardi Setiawan, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",2025-05-23 15:58:43
"dr. Arnold Darmawan Thioritz, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",2025-05-23 15:58:43
"dr. Aryo Nugroho Triyudanto, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",2025-05-23 15:58:43
"dr. Bambang Nugroho, Sp.OT (K)","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",2025-05-23 15:58:43
"Dr. Bayu Antara Hadi, M.Ked, Klin SpOT",Sp. Orthopaedi & Traumatologi,Mandaya Hospital Karawang,"Telukjambe Timur, Kabupaten Karawang",2025-05-23 15:58:43
"dr. Benny, Sp.OT",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",2025-05-23 15:58:43
"dr. Benyamin Parsaoran Simatupang, Sp.OT",Sp. Orthopaedi & Traumatologi,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 15:58:43
"dr. Carles Siagian, Sp.OT (K)","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 15:58:43
"dr. Cokorda Gde Oka Darmayuda, Sp.OT",Sp. Orthopaedi & Traumatologi,BIMC Hospitals Kuta,"Kuta, Kabupaten Badung",2025-05-23 15:58:48
"DR. dr.Edi Mustamsir, Sp.OT (K)",Sp. Orthopaedi & Traumatologi,Persada Hospital,"Blimbing, Kota Malang",2025-05-23 15:58:48
"dr. Daly Hanafiah, Sp.OT(K)",Sp. Orthopaedi & Traumatologi,RS Khusus Bedah Halmahera Siaga,"Bandung Wetan, Kota Bandung",2025-05-23 15:58:48
"dr. Damiarta, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",2025-05-23 15:58:48
"dr. Danang Diandaru, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",2025-05-23 15:58:48
"dr. Daniel Petrus Marpaung, Sp.OT (K)","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 15:58:48
"dr. Demy Faheem Dasril, Sp.OT",Sp. Orthopaedi & Traumatologi,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",2025-05-23 15:58:48
"dr. Deri Mulyadi, Sp.OT., M.Kes","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",2025-05-23 15:58:48
"dr. Dimas Radithya Boedijono, Sp.OT (K)","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",2025-05-23 15:58:48
"dr. Djuniper Hasudungan Sagala, Sp.OT (K)","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Palangka Raya,"Pahandut, Kota Palangka Raya",2025-05-23 15:58:48
"dr. Donny Bastian, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Palangka Raya,"Pahandut, Kota Palangka Raya",2025-05-23 15:58:51
Dr Chee Chia Shing,Sp. Orthopaedi & Traumatologi,Sunway Medical Centre,"Mampang Prapatan, Jakarta Selatan",2025-05-23 15:58:51
"Dr L. Andre Pontoh, Dr. dr. Sp. OT. (K)",Sp. Orthopaedi & Traumatologi,RS Pondok Indah - Pondok Indah,"Kebayoran Lama, Jakarta Selatan",2025-05-23 15:58:51
Dr Lee Keat Hwa,Sp. Orthopaedi & Traumatologi,Island Hospital Penang,"Mampang Prapatan, Jakarta Selatan",2025-05-23 15:58:51
Dr Ng Khai oon,Sp. Orthopaedi & Traumatologi,Island Hospital Penang,"Mampang Prapatan, Jakarta Selatan",2025-05-23 15:58:51
Dr. Sherly Sp.OT,Sp. Orthopaedi & Traumatologi,Bogor Senior Hospital,"Bogor Selatan, Bogor",2025-05-23 15:58:51
"dr. Dwi Purnomo Setyo Budi, Sp.OT (K)",Sp. Orthopaedi & Traumatologi,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",2025-05-23 15:58:51
"dr. Edwin William Thioritz, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",2025-05-23 15:58:51
"dr. Erick Wonggokusuma, Sp.OT (K)",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 15:58:51
"dr. Erwin Ramawan, Sp.OT (K) Hand., FCIS","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",2025-05-23 15:58:51
"dr. Ery Satriawan, SpOT",Sp. Orthopaedi & Traumatologi,RS Panti Nirmala,"Kedungkandang, Kota Malang",2025-05-23 15:58:58
"dr. Fachrisal Ipang, Sp.OT (K) Spine","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",2025-05-23 15:58:58
"dr. Fadli Yogi Arif, M.Ked (Surg), Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Tegal,"Tegal Barat, Kota Tegal",2025-05-23 15:58:58
"dr. Fathurrahman, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Purwakarta,"Bungursari, Kabupaten Purwakarta",2025-05-23 15:58:58
"dr. Febrian Brahmana, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-23 15:58:58
"dr. Fidelis Heru Wicaksono, Sp.OT",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Bogor,"Bogor Tengah, Bogor",2025-05-23 15:58:58
"Dr. dr. Franky Hartono, Sp. OT(K)",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 15:58:58
"dr. Gerald Wonggokusuma, Sp.OT",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Mampang,"Pancoran, Jakarta Selatan",2025-05-23 15:58:58
"dr. Gestana Retaha Wardana, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",2025-05-23 15:58:58
dr Happy Chandra Waskita Sp. OT,Sp. Orthopaedi & Traumatologi,Mandaya Hospital Karawang,"Telukjambe Timur, Kabupaten Karawang",2025-05-23 15:58:58
"dr. Husnul Fuad Albar, Sp.OT",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",2025-05-23 15:59:06
"dr. I G.B.I. Angganugraha P.J., Sp.OT",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Jember,"Kaliwates, Kabupaten Jember",2025-05-23 15:59:06
"dr. I Gusti Made Febry Siswanto, Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",2025-05-23 15:59:06
"dr. I Gusti Ngurah Wien Aryana, Sp.OT (K)",Sp. Orthopaedi & Traumatologi,BIMC Hospitals Kuta,"Kuta, Kabupaten Badung",2025-05-23 15:59:06
"dr. I Komang Agus Krisna Saputra, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",BIMC Hospitals Nusa Dua,"Kuta Selatan, Kabupaten Badung",2025-05-23 15:59:06
"dr. I Made Artana, M.Biomed, Sp.OT (K)","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Siloam Hospitals Mataram,"Mataram, Kota Mataram",2025-05-23 15:59:06
"dr. I Wayan Murjana, Sp.OT","Sp. Orthopaedi & Traumatologi, Dokter Bedah",BIMC Hospitals Nusa Dua,"Kuta Selatan, Kabupaten Badung",2025-05-23 15:59:06
"dr. IGBA Juniantara, SpOT.,MARS","Sp. Orthopaedi & Traumatologi, Dokter Bedah",Mayapada Hospital Bogor,"Bogor Timur, Bogor",2025-05-23 15:59:06
"dr. Ida Ayu Ratna Dewi Arrisna Artha, Sp.OT (K)",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Denpasar,"Kuta, Kabupaten Badung",2025-05-23 15:59:06
"dr. Ihsan Oesman, Sp.OT (K) Foot & Ankle",Sp. Orthopaedi & Traumatologi,MRCCC Siloam Hospitals Semanggi,"Setiabudi, Jakarta Selatan",2025-05-23 15:59:06
"dr. Immanuel Panca Sitorus, SpOT (K) Hip & Knee",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Depok,"Pancoran Mas, Depok",2025-05-23 15:59:08
"dr. Irwan Yusuf, Sp.OT",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Bekasi Sepanjang Jaya,"Rawalumbu, Bekasi",2025-05-23 15:59:08
dr. Januar Chrisant Fladimir Sp.OT,Sp. Orthopaedi & Traumatologi,RS Melati Tangerang,"Karawaci, Tangerang",2025-05-23 15:59:08
"Dr. dr. John Christian Parsaoran Butar Butar, Sp.OT (K)",Sp. Orthopaedi & Traumatologi,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 15:59:08
"dr. Juliando, Sp.OT",Sp. Orthopaedi & Traumatologi,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",2025-05-23 15:59:08
