name,speciality,hospital,city,timestamp
"Prof. dr. Ali Ghanie, Sp.PD-KKV., FINASIM",Sp. PD Kardiovaskular,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",2025-05-23 16:04:29
"dr. Dewi Masrifah Ayub Sp.KFR,Ped(K)",Sp. PD Kardiovaskular,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",2025-05-23 16:04:29
"dr. H. Edwin Setiabudi, Sp.PD-KKV, FINASIM",Sp. PD Kardiovaskular,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 16:04:29
"dr. H. Edwin Setiabudi, (Khusus Praktek Siang) Sp.PD-KKV, FINASIM",Sp. PD Kardiovaskular,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 16:04:29
"dr. Indra Sihar Mangaranap Manullang, Sp.PD-KKV",Sp. PD Kardiovaskular,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",2025-05-23 16:04:29
"Prof. dr. Lukman Hakim, Sp.PD-KKV, Sp.JP, KGer",Sp. PD Kardiovaskular,MRCCC Siloam Hospitals Semanggi,"Setiabudi, Jakarta Selatan",2025-05-23 16:04:29
"dr. Pudji Rusmono Adi, Sp.PD-KKV",Sp. PD Kardiovaskular,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 16:04:29
"dr. Abdillah Lubis, M. Ked(Cardio), Sp. JP, FIHA",Sp. PD Kardiovaskular,RS Mitra Medika Premier,"Medan Petisah, Kota Medan",2025-05-23 16:04:29
"dr. Hardjo Prawira, Sp.PD-KKV",Sp. PD Kardiovaskular,RS St. Carolus Salemba,"Senen, Jakarta Pusat",2025-05-23 16:04:29
"dr. Rachmat Hamonangan, Sp.PD-KKV., FINASIM, FACP",Sp. PD Kardiovaskular,RS St. Carolus Salemba,"Senen, Jakarta Pusat",2025-05-23 16:04:29
