name,speciality,hospital,city,timestamp
"Dr. dr. Achmad Mulawarman Jayusman, Sp.P (K)",Sp. Paru,MRCCC Siloam Hospitals Semanggi,"Setiabudi, Jakarta Selatan",2025-05-23 14:50:16
"dr. Adhitri Anggoro , Sp.P",Sp. Paru,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",2025-05-23 14:50:16
"dr. Adianto Dwi Prasetio Z, Sp.P",Sp. Paru,Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),"Cinere, Depok",2025-05-23 14:50:16
"dr. Adrianne Marisa Tauran, Sp.P",Sp. Paru,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",2025-05-23 14:50:16
"dr. Afrita Amalia Laitupa, Sp.P",Sp. Paru,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-23 14:50:16
"dr. Alexander K. Ginting S., Sp.P, MARS",Sp. Paru,RS Mitra Keluarga Depok,"Pancoran Mas, Depok",2025-05-23 14:50:16
Prof. Dr. dr. Allen Widysanto SpP,Sp. Paru,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 14:50:16
"dr. Andi Nurjihad, Sp.P",Sp. Paru,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",2025-05-23 14:50:16
"dr. Annisa Dian Harlivasari, Sp.P",Sp. Paru,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",2025-05-23 14:50:16
"dr. Annisa Sutera Insani , Sp.P",Sp. Paru,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",2025-05-23 14:50:16
"Dr. dr. Arif Riswahyudi Hanafi, Sp.P (K)",Sp. Paru,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",2025-05-23 14:50:18
"dr. Arini Purwono, Sp.p",Sp. Paru,RS Pusat Pertamina,"Kebayoran Baru, Jakarta Selatan",2025-05-23 14:50:18
"dr. Aulia Pranandrari, Sp.P",Sp. Paru,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 14:50:18
"dr. Bambang Heru Handojo, Sp. P",Sp. Paru,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 14:50:18
