name,speciality,hospital,city,timestamp
"dr. Budiono Raharjo, Sp.PK",Sp. Patologi Klinik,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",2025-05-23 16:20:10
"dr. Hantoro Gunawan, Sp.PK",Sp. Patologi Klinik,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-23 16:20:10
"dr. Laura Christiani , Sp.PK",Sp. Patologi Klinik,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",2025-05-23 16:20:10
dr. Sondang M. Sitari Sp.PK,Sp. Patologi Klinik,RS Sukmul Sisma Medika,"Koja, Jakarta Utara",2025-05-23 16:20:10
"dr. Wilya Kuswandi , Sp.PK",Sp. Patologi Klinik,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",2025-05-23 16:20:10
Dr. dr. DEMAK L TOBING Sp.PK (K),Sp. Patologi Klinik,RS Kanker Dharmais,"Palmerah, Jakarta Barat",2025-05-23 16:20:10
Dr. Aditya Ignasius Sigit Sp.PK,Sp. Patologi Klinik,halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 16:20:10
dr. Andrew Sp. PK,Sp. Patologi Klinik,RSUD Koja,"Koja, Jakarta Utara",2025-05-23 16:20:10
dr. Dian Luminto Sp.PK,Sp. Patologi Klinik,halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 16:20:10
Dr. Regina A. Meilinda Sp. PK,Sp. Patologi Klinik,halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 16:20:10
"Dr. Veronica Prawira, SPPK",Sp. Patologi Klinik,halodoc,"Setiabudi, Jakarta Selatan",2025-05-23 16:20:18
