name,speciality,hospital,city,timestamp
dr. Abdul Gaffar Hamzah Sp.PD,Sp. Penyakit Dalam,RS Citama,"Bojonggede, Kabupaten Bogor",2025-05-23 13:23:08
"Prof. dr. Abdul Majid, Sp.PD-KKV",Sp. Penyakit Dalam,Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",2025-05-23 13:23:08
dr. Abiran Nababan Sp.PD - KGEH,Sp. Penyakit Dalam,RSU Santa Elisabeth Medan,"Medan Maimun, Kota Medan",2025-05-23 13:23:08
"dr. Abram Pratama, Sp.PD (Khusus Praktek Sore)",Sp. Penyakit Dalam,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 13:23:08
"dr. Abram Pratama, Sp.PD",Sp. Penyakit Dalam,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 13:23:08
"dr. Adang Sabarudin , Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",2025-05-23 13:23:08
"dr. Ade Rahmawati, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Pamulang,"Pamulang, Tangerang Selatan",2025-05-23 13:23:08
"dr. Adhita Kartyanto, Sp.PD",Sp. Penyakit Dalam,RSU Syubbanul Wathon,"Pakis, Kabupaten Magelang",2025-05-23 13:23:08
"dr. Adi Kurniawan , Sp.PD,K-Al,FINASIM","Sp. Penyakit Dalam, Sp. PD Geriatri",RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",2025-05-23 13:23:08
dr. Aditya Tjandra Sp.PD,Sp. Penyakit Dalam,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",2025-05-23 13:23:08
dr. Andi Pratama SpPD,Sp. Penyakit Dalam,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",2025-05-23 13:23:14
Dr. Andi Pratama Dharma Sp.PD,Sp. Penyakit Dalam,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",2025-05-23 13:23:14
dr. Andre Indrajaya Sp.PD.,Sp. Penyakit Dalam,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",2025-05-23 13:23:14
"dr. Andre Indrajaya, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",2025-05-23 13:23:14
"dr. Andree Kurniawan, Sp.PD-FINASIM",Sp. Penyakit Dalam,Siloam Hospitals Kelapa Dua,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 13:23:14
"dr. Andree Kurniawan, Sp.PD",Sp. Penyakit Dalam,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 13:23:14
dr. Andri Affandi Sp.PD,Sp. Penyakit Dalam,RS Kenari Graha Medika,"Cileungsi, Kabupaten Bogor",2025-05-23 13:23:14
"dr. Andri Budiman, Sp.PD",Sp. Penyakit Dalam,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",2025-05-23 13:23:14
"dr. Andrianus Gatot Sugiharto, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",2025-05-23 13:23:14
"dr. Andry Sultana, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",2025-05-23 13:23:14
"dr. Anggra Filani, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",2025-05-23 13:23:16
"dr. Anggun Mekar Kusuma, Sp.PD",Sp. Penyakit Dalam,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 13:23:16
"dr. Anjab Akmal Syaroni, Sp.PD",Sp. Penyakit Dalam,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",2025-05-23 13:23:16
"dr. Anna Ariane, SpPD-KR",Sp. Penyakit Dalam,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",2025-05-23 13:23:16
"dr. Anna Marianna Astrid Budiman, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Bintaro,"Pondok Aren, Tangerang Selatan",2025-05-23 13:23:16
"dr. Annisa Irawati, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",2025-05-23 13:23:16
"dr. Anugrah Riansari M.Kes, SpPD",Sp. Penyakit Dalam,Primaya Hospital Semarang,"Tembalang, Kota Semarang",2025-05-23 13:23:16
"dr. Anugrahini Irawati, Sp.PD",Sp. Penyakit Dalam,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",2025-05-23 13:23:16
"dr. Anwar Jalling, Sp.PD",Sp. Penyakit Dalam,Siloam Hospitals Buton,"Wolio, Kota Bau-Bau",2025-05-23 13:23:16
