name,speciality,hospital,city,img,slug,timestamp
"dr. Achmad Firdaus Sani, Sp.S",Sp. Saraf,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/240065_13-12-2022_17-6-38.png,neurologist,2025-06-15 02:19:48
"dr. Adisti Prafica P, Sp.N",Sp. Saraf,Siloam Hospitals Mataram,"Mataram, Kota Mataram",https://d1ojs48v3n42tp.cloudfront.net/personnels/403601_24-3-2023_13-7-20.jpeg,neurologist,2025-06-15 02:19:48
"Dr. dr. Agus Setiawan Solichien, Sp.S",Sp. Saraf,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/882455_4-4-2022_13-52-15.jpeg,neurologist,2025-06-15 02:19:48
"dr. Agus Suriadi Wijaya , Sp.N",Sp. Saraf,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/139338_9-7-2024_16-55-33.png,neurologist,2025-06-15 02:19:48
"dr. Agus Yudawijaya, Sp.S, Msi.Med",Sp. Saraf,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/773597_23-6-2022_10-36-11.png,neurologist,2025-06-15 02:19:48
"dr. Agustinus Iskandar, Sp.S",Sp. Saraf,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/537104_13-12-2022_16-9-58.png,neurologist,2025-06-15 02:19:48
"dr. Aida Fitri, Sp.S (K)",Sp. Saraf,Siloam Hospitals Dhirga Surya Medan,"Medan Petisah, Kota Medan",https://d1ojs48v3n42tp.cloudfront.net/personnels/648559_23-5-2022_11-45-29.jpeg,neurologist,2025-06-15 02:19:48
"dr. Amin Husni Sp.N (K), MSc",Sp. Saraf,RS Telogorejo,"Semarang Tengah, Kota Semarang",,neurologist,2025-06-15 02:19:48
"dr. Ana Fresia, MKed(Neu), SpS",Sp. Saraf,RS Mitra Medika Premier,"Medan Petisah, Kota Medan",,neurologist,2025-06-15 02:19:48
"dr. Ana Presia, MKed(Neu), SpS",Sp. Saraf,RS Mitra Medika Premier,"Medan Petisah, Kota Medan",,neurologist,2025-06-15 02:19:48
"dr. Andina Yuliani, Sp.S",Sp. Saraf,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/353853_13-12-2022_12-53-6.png,neurologist,2025-06-15 02:19:51
"dr. Andreas Prasadja , RPSGT",Sp. Saraf,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/436736_9-7-2024_14-16-43.png,neurologist,2025-06-15 02:19:51
"dr. Andrie Gunawan, Sp.S",Sp. Saraf,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/773250_4-4-2023_23-19-12.jpeg,neurologist,2025-06-15 02:19:51
"dr. Andry, Sp.N",Sp. Saraf,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/436979_2-7-2021_9-49-7.png,neurologist,2025-06-15 02:19:51
"dr. Angela Gracia, Sp.S",Sp. Saraf,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/485582_15-6-2022_16-57-36.jpeg,neurologist,2025-06-15 02:19:51
