name,speciality,hospital,city,timestamp
dr ALEXANDER NUR ILHAMI Sp.THT,Sp. THT,RS Bethsaida,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 11:32:02
"Prof. Dr. dr. Achmad Chusnu Romdhoni, Sp.THT-KL (K)",Sp. THT,Siloam Hospitals Surabaya,"Gubeng, Kota Surabaya",2025-05-23 11:32:02
Dr. Adi Januar Akbar Sp. THT-KL,Sp. THT,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",2025-05-23 11:32:02
dr Adi Januar Akbar Sp. THT,Sp. THT,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",2025-05-23 11:32:02
"dr. Adisti Mega Rinindra, Sp.THT-KL",Sp. THT,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",2025-05-23 11:32:02
dr Aditya Arifianto Sp. THT-KL,Sp. THT,RSU Fikri Medika,"Klari, Kabupaten Karawang",2025-05-23 11:32:02
Dr. Aditya Arifjanto Sp. THT,Sp. THT,RS Permata Keluarga Karawang,"Telukjambe Timur, Kabupaten Karawang",2025-05-23 11:32:02
dr. Afriyanto Ridhwan Sp.THT-KL,Sp. THT,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",2025-05-23 11:32:02
"dr. Agus Multazar, M.Ked (ORL-HNS)., Sp.THT",Sp. THT,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",2025-05-23 11:32:02
"dr. Agus Santosa, Sp.THT-KL",Sp. THT,Siloam Hospitals Denpasar,"Kuta, Kabupaten Badung",2025-05-23 11:32:02
"dr. Ahmad Effendi , Sp.THT-KL",Sp. THT,RS Mitra Keluarga Grand Wisata,"Tambun Selatan, Kabupaten Bekasi",2025-05-23 11:32:06
"dr. Aldityas Eko Wibawanto, Sp. THT-KL",Sp. THT,RS Mitra Keluarga Pratama Jatiasih,"Jatiasih, Bekasi",2025-05-23 11:32:06
"dr. Alexander Nur Ilhami, Sp.THT-KL, M.Kes",Sp. THT,Mayapada Hospital Tangerang,"Tangerang, Tangerang",2025-05-23 11:32:06
Dr. Alvin Renaldo Sp. THT-KL,Sp. THT,RSK THT - Bedah Proklamasi,"Menteng, Jakarta Pusat",2025-05-23 11:32:06
"dr. Anantha Sena, Sp.THT-KL",Sp. THT,Mayapada Hospital Bogor,"Bogor Timur, Bogor",2025-05-23 11:32:06
"dr. Andi Darwin, Sp.THT-KL",Sp. THT,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",2025-05-23 11:32:06
"dr. Anne Indrawati, Sp.THT-KL",Sp. THT,Siloam Hospitals Purwakarta,"Bungursari, Kabupaten Purwakarta",2025-05-23 11:32:06
"dr. Antonius Harijanto Widjaja, Sp.THT-KL",Sp. THT,Siloam Hospitals Surabaya,"Gubeng, Kota Surabaya",2025-05-23 11:32:06
"dr. Arfan Noer, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",2025-05-23 11:32:06
"dr. Armeilia A. Rachim, Sp.THT",Sp. THT,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",2025-05-23 11:32:06
"dr. Asbudi, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",2025-05-23 11:32:09
"dr. Asih Yuliati, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",2025-05-23 11:32:09
"dr. Asih Yuliati, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",2025-05-23 11:32:09
"dr. Ayu Astria Sriyana, Sp.THT-KL",Sp. THT,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",2025-05-23 11:32:09
dr. Bagas Wicaksono Sp.THT-KL,Sp. THT,RSIA Kemang Medical Care,"Pasar Minggu, Jakarta Selatan",2025-05-23 11:32:09
"dr. Bambang Hari Santosa, Sp.THT-KL",Sp. THT,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",2025-05-23 11:32:09
dr Bambang Purwanto Sp THTKL,Sp. THT,RSIA Al Islam Bandung,"Cibeunying Kidul, Kota Bandung",2025-05-23 11:32:09
"dr. Bambang Sukmadi, Sp.THT-KL (K)",Sp. THT,RS Khusus THT Ciranjang,"Kebayoran Baru, Jakarta Selatan",2025-05-23 11:32:09
"dr. Benhard B. J. Panjaitan, Sp. THT",Sp. THT,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",2025-05-23 11:32:09
dr Benny Syahrial Sp. THT,Sp. THT,RS Citra Harapan,"Medan Satria, Bekasi",2025-05-23 11:32:09
"dr. Benny Syahrial, Sp.THT-KL",Sp. THT,Siloam Hospitals Sentosa Bekasi,"Bekasi Timur, Bekasi",2025-05-23 11:32:11
dr. Bernadetta Belinda Djimandjaja Sp.THT-KL,Sp. THT,RSIA Bina Medika,"Pondok Aren, Tangerang Selatan",2025-05-23 11:32:11
dr. Bernadetta Belinda Djimandjaja Sp.THT-KL,Sp. THT,RSIA Bina Medika,"Pondok Aren, Tangerang Selatan",2025-05-23 11:32:11
"dr. Bilkis, Sp.THT-KL",Sp. THT,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",2025-05-23 11:32:11
dr. Billy Massie Sp.THT-KL,Sp. THT,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 11:32:11
"dr. Billy Massie, Sp.THT",Sp. THT,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",2025-05-23 11:32:11
"dr. Bintang Berthaliana Mangantar Napitupulu, Sp.THT-KL",Sp. THT,RS Immanuel,"Bojongloa Kidul, Kota Bandung",2025-05-23 11:32:11
"dr. Bonny Murizky, Sp.THT-KL",Sp. THT,Siloam Hospitals Bogor,"Bogor Tengah, Bogor",2025-05-23 11:32:11
"dr. Budi Sutikno, Sp.THT-KL (K), FICS",Sp. THT,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",2025-05-23 11:32:11
dr Budiman Gumilang Koerniawan Sp.THT,Sp. THT,RSK THT - Bedah Proklamasi,"Menteng, Jakarta Pusat",2025-05-23 11:32:11
Dr. Bunga Aline Ditha Sp.THT-BKL,Sp. THT,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",2025-05-23 11:32:13
