name,speciality,hospital,city,img,slug,timestamp
"dr. Abdul Azis, Sp.U",Sp. Urologi,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/850238_15-6-2022_17-0-51.jpeg,urologist,2025-06-15 09:14:59
"dr. Adi Santoso, Sp.U",Sp. Urologi,Siloam Hospitals Surabaya,"Gubeng, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/638842_27-6-2022_11-58-6.jpeg,urologist,2025-06-15 09:14:59
"dr. Aditya Pramanta, Sp.U",Sp. Urologi,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/328661_14-12-2022_12-34-53.png,urologist,2025-06-15 09:14:59
Prof. Dr. dr. Agus Rizal Ardy Hariandy Hamid Sp.U,Sp. Urologi,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/642702_31-10-2022_14-32-24.jpeg,urologist,2025-06-15 09:14:59
"dr. Akbari Wahyudi Kusumah, Sp.U",Sp. Urologi,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/137271_24-6-2022_13-14-0.jpeg,urologist,2025-06-15 09:14:59
"dr. Akhada Maulana, Sp.U",Sp. Urologi,Siloam Hospitals Mataram,"Mataram, Kota Mataram",https://d1ojs48v3n42tp.cloudfront.net/personnels/785603_24-3-2023_13-13-29.jpeg,urologist,2025-06-15 09:14:59
"Dr. Albert Ivan Parasian, Sp.U",Sp. Urologi,RS Mitra Keluarga Delta Mas,"Cikarang Pusat, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/867278_21-2-2023_18-51-47.jpeg,urologist,2025-06-15 09:14:59
"dr. Albertus Marcelino, Sp.U",Sp. Urologi,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/241807_4-5-2022_14-44-11.jpeg,urologist,2025-06-15 09:14:59
dr Ali Suyono Purwita Sp. U,Sp. Urologi,RS PIK,"Penjaringan, Jakarta Utara",,urologist,2025-06-15 09:14:59
"dr. Andika Afriansyah, Sp.U",Sp. Urologi,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/612821_14-12-2022_16-20-54.png,urologist,2025-06-15 09:14:59
"dr. Andre Lazuardi Harahap, Sp.U",Sp. Urologi,Siloam Hospitals Sentosa Bekasi,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/524822_7-9-2022_14-30-20.jpeg,urologist,2025-06-15 09:15:02
"dr. Anggie Novaldy, Sp.U",Sp. Urologi,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/230530_24-6-2022_17-50-39.jpeg,urologist,2025-06-15 09:15:02
"dr. Ari Astram, Sp.U",Sp. Urologi,Siloam Hospitals Manado,"Wenang, Kota Manado",https://d1ojs48v3n42tp.cloudfront.net/personnels/603432_11-9-2020_17-17-47.png,urologist,2025-06-15 09:15:02
"dr. Ariyo Sakso Bintoro, Sp.U",Sp. Urologi,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/847904_13-12-2022_17-20-24.png,urologist,2025-06-15 09:15:02
dr. Arry Rodjani Sp.U (K),Sp. Urologi,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/492662_8-12-2022_15-45-4.png,urologist,2025-06-15 09:15:02
