name,speciality,hospital,city,img,slug,timestamp
Dr. ADI JANUAR AKBAR,Dokter Umum,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:52
ADI JANUAR AKBAR Sp. THT-KL,Dokter Umum,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:52
dr. ADI PUTRA RAHMADI,Dokter Umum,RS Pradipa Medika,"Cilimus, Kabupaten Kuningan",,dokter-umum,2025-06-15 02:49:52
dr. ALVIEN CHAERUL UMAM,Dokter Umum,RS Citra Sari Husada,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:52
dr. ALVIEN CHAERUL UMAMI,Dokter Umum,RS Citra Sari Husada,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:52
dr. ANA PERMATA SARI MM,Dokter Umum,Klinik Puri Asih Kosambi,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:52
dr. ANA PERMATA SARI MM,Dokter Umum,Klinik Puri Asih Kosambi,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:52
dr. ANA PERMATA SARI MM,Dokter Umum,Klinik Puri Asih Kosambi,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:52
DR. ANGGA NOVERNIA I GUSTI AGUNG,Dokter Umum,RS Kertha Usada,"Buleleng, Kabupaten Buleleng",,dokter-umum,2025-06-15 02:49:52
dr. ANGGI SURYATI,Dokter Umum,Klinik Pratama Rawat Inap Permata Bunda Graha Mustika,"Setu, Kabupaten Bekasi",,dokter-umum,2025-06-15 02:49:52
dr. Abraham Sakti Nugrahanto,Dokter Umum,RS Bethesda Yogyakarta,"Gondokusuman, Kota Yogyakarta",,dokter-umum,2025-06-15 02:49:55
dr. Achmad Kurniawan Almi,Dokter Umum,RS UniMedika Setu Bekasi,"Setu, Kabupaten Bekasi",,dokter-umum,2025-06-15 02:49:55
dr Adam Sultansah Sp. A,Dokter Umum,RSU Fikri Medika,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:55
dr. Ade Hafni Sp.A,Dokter Umum,RSU Fikri Medika,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:55
dr. Ade Rahmah Arland,Dokter Umum,RS Balikpapan Baru,"Balikpapan Kota, Kota Balikpapan",,dokter-umum,2025-06-15 02:49:55
dr. Ade Ruhani Arland,Dokter Umum,RS Balikpapan Baru,"Balikpapan Kota, Kota Balikpapan",,dokter-umum,2025-06-15 02:49:55
dr. Adinda Humaira Darmawan,Dokter Umum,Klinik Berkah Puri Nirwana,"Karangbahagia, Kabupaten Bekasi",,dokter-umum,2025-06-15 02:49:55
dr. Aditya Ilham Prasetyo,Dokter Umum,RS Mitra Keluarga Bintaro,"Pondok Aren, Tangerang Selatan",,dokter-umum,2025-06-15 02:49:55
dr. Aditya Maulana,Dokter Umum,RS Antam Medika,"Pulo Gadung, Jakarta Timur",,dokter-umum,2025-06-15 02:49:55
dr. Afifah Nur Fahada,Dokter Umum,RS Permata Medika,"Ngaliyan, Kota Semarang",,dokter-umum,2025-06-15 02:49:55
Dr. Agatha Nagrintya Gintings,Dokter Umum,Ciputra Mitra Hospital Banjarmasin,"Kertak Hanyar, Kota Banjarmasin",,dokter-umum,2025-06-15 02:49:58
dr Agoestina Putri,Dokter Umum,Klinik Citra Sehat Utama,"Banjarmasin Timur, Kota Banjarmasin",,dokter-umum,2025-06-15 02:49:58
Dr. Agung Prabowo,Dokter Umum,Klinik Sapta Mitra Jakarta,"Duren Sawit, Jakarta Timur",,dokter-umum,2025-06-15 02:49:58
Dr. Agus Kusumoaji Sp. M,Dokter Umum,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:58
Dr. Agustina Hehanussa Sp. DV,Dokter Umum,RS Permata Keluarga Karawang,"Telukjambe Timur, Kabupaten Karawang",,dokter-umum,2025-06-15 02:49:58
dr. Agustina Poetri,Dokter Umum,Klinik Citra Sehat Utama,"Banjarmasin Timur, Kota Banjarmasin",,dokter-umum,2025-06-15 02:49:58
dr. Ahmad Fatoni,Dokter Umum,RS Azra,"Bogor Utara, Bogor",,dokter-umum,2025-06-15 02:49:58
dr. Ahmad Fauzan,Dokter Umum,RS Taman Harapan Baru,"Medan Satria, Bekasi",,dokter-umum,2025-06-15 02:49:58
dr Ahmad Nurhadi Hidayat,Dokter Umum,RS TMC,"Cihideung, Kota Tasikmalaya",,dokter-umum,2025-06-15 02:49:58
dr. Ahmad Subangkit,Dokter Umum,RS Pusat Pertamina,"Kebayoran Baru, Jakarta Selatan",,dokter-umum,2025-06-15 02:49:58
dr. Ailen Lystyani,Dokter Umum,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",,dokter-umum,2025-06-15 02:50:00
dr. Aisyah Dewi Anggraeni,Dokter Umum,Klinik Puri Asih Cikampek,"Cikampek, Kabupaten Karawang",,dokter-umum,2025-06-15 02:50:00
Dr. Ajeng Grasia Patricia Sp. M,Dokter Umum,RS Islam Jakarta Sukapura,"Cilincing, Jakarta Utara",,dokter-umum,2025-06-15 02:50:00
Dr. Alberd Robeddi Manihuruk,Dokter Umum,RS Harum Sisma Medika,"Makasar, Jakarta Timur",,dokter-umum,2025-06-15 02:50:00
dr. Alberta Rohadatul 'Aisy,Dokter Umum,Persada Hospital,"Blimbing, Kota Malang",,dokter-umum,2025-06-15 02:50:00
dr. Aldi Alumad Nurhadi,Dokter Umum,Klinik Utama Alobelo,"Ciputat Timur, Tangerang Selatan",,dokter-umum,2025-06-15 02:50:00
dr. Alexander Mahesa Indiraka,Dokter Umum,RS Panti Rini,"Kalasan, Kabupaten Sleman",,dokter-umum,2025-06-15 02:50:00
dr. Alfina T.NC,Dokter Umum,Klinik Alfina,"Cibeber, Kota Cilegon",,dokter-umum,2025-06-15 02:50:00
dr. Alfrida Pebrina Pawurine Nathania,Dokter Umum,RS Ken Saras,"Bergas, Kabupaten Semarang",,dokter-umum,2025-06-15 02:50:00
dr. Alhadi Hakim,Dokter Umum,RS Universitas Islam Indonesia,"Pandak, Kabupaten Bantul",,dokter-umum,2025-06-15 02:50:00
dr. Almira Maharani,Dokter Umum,RSIA Kendangsari Surabaya,"Tenggilis Mejoyo, Kota Surabaya",,dokter-umum,2025-06-15 02:50:03
dr. Alvienna Indira Rabbani,Dokter Umum,RSU Unggul Karsa Medika,"Margaasih, Kabupaten Bandung",,dokter-umum,2025-06-15 02:50:03
dr. Alvionita Citra Mayrani,Dokter Umum,Klinik Syifa Medical Center,"Koja, Jakarta Utara",,dokter-umum,2025-06-15 02:50:03
Dr. Alya Maulida,Dokter Umum,Ciputra Mitra Hospital Banjarmasin,"Kertak Hanyar, Kota Banjarmasin",,dokter-umum,2025-06-15 02:50:03
Dr. Ameetha Drupadi,Dokter Umum,Klinik Tembuni Birth Center,"Mampang Prapatan, Jakarta Selatan",,dokter-umum,2025-06-15 02:50:03
dr. Amira Nabila,Dokter Umum,RS Mitra Keluarga Cibubur,"Jatisampurna, Bekasi",,dokter-umum,2025-06-15 02:50:03
dr. Amsal Darmawan,Dokter Umum,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",,dokter-umum,2025-06-15 02:50:03
dr. Ana Permatasari MM,Dokter Umum,Klinik Puri Asih Kosambi,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:50:03
dr. Ana Permatasari. MM,Dokter Umum,Klinik Puri Asih Kosambi,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:50:03
dr. Anak Agung Segung Mirah Trisuladara,Dokter Umum,RSU Manuaba,"Denpasar Utara, Kota Denpasar",,dokter-umum,2025-06-15 02:50:03
DR Anastasia Mia Novita,Dokter Umum,RSIA Melinda,"Cicendo, Kota Bandung",,dokter-umum,2025-06-15 02:50:06
Dr. Anastassia Melani,Dokter Umum,RS Satya Negara,"Tanjung Priok, Jakarta Utara",,dokter-umum,2025-06-15 02:50:06
